PropertyCode,Country,RegionCode,AccoType,Product,CreationDate,DDate,WDate,PlaceId,SubPlaceId,PriceMethod,PriceExtention,PriceTemplate,Sales,SalesLARSId,ReportsTo,ReportsToLARSId,Service,ServiceLARSId,OriginalUser,OriginalUserLARSId,Status,Homeowner,Caretaker,ContractType,SalesManager,CombiPlanning,Latitude,Longitude,TakenOverFrom,TakenOverFromDate,Rank,Zipcode,City,Company,Flex,MiniStay,FlexMini,Hash,OriginFile,LoadEpoch,LoadDatetime
ACE02030-IYB,ES,,Single home,Spanje,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,28.919205,-13.707197,,,Bronze,35571,Puerto Calero,TUI,,,,-5706833312413799417,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
ACE021015-FYA,ES,,Single home,Spanje,2021-12-15,2019-01-05,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,31.674533,-106.367553,,,Bronze,0,El Cuchillo,TUI,,,,4477698563271388429,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
BRE01215-P,FR,,,Zuid-Frankrijk,2021-12-15,2018-06-30,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,48.619354,-2.132691,,,Bronze,35800,St. Briac-sur-Mer,TUI,,,,-6099291490117413674,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
BRE05434-I,FR,,Single home,Zuid-Frankrijk,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,48.685113,-3.986533,,,Bronze,0,St. Pol-de-Léon,TUI,,,,4277983709756678097,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CAZ01479-O,FR,,Resort Big,Zuid-Frankrijk,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,43.345317,6.703037,,,Bronze,83380,Les Issambres,TUI,,,,21214371383143574,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CDN02092-DYC,HR,,Resort small,Kroatië,2021-12-15,2018-04-01,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,36.560008,-79.202606,,,Bronze,23234,Vir,TUI,,,,2609595451680564568,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CDN02117-EYD,HR,,Resort small,Kroatië,2021-12-15,2018-04-01,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,43.962187,15.428443,,,Bronze,23207,Sveti Filip i Jakov,TUI,,,,-3636850444312282270,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CDN051009-CYB,HR,,Single home,Kroatië,2021-12-15,2018-03-18,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,44.276323,15.477379,,,Bronze,23244,Seline,TUI,,,,2621459307035273933,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CIN02006-DYC,HR,,Resort Medium,Kroatië,2021-12-15,2018-04-01,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,44.531581,14.472042,,,Bronze,0,Mali Losinj,TUI,,,,-5016269939066327587,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CIN02016-O,HR,,Resort Medium,Kroatië,2021-12-15,2018-03-01,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,44.531581,14.472042,,,Bronze,0,Mali Losinj,TUI,,,,6988650365320915990,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CIN04042-CYB,HR,,Resort Medium,Kroatië,2021-12-15,2018-04-01,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,44.556181,14.885424,,,Bronze,53291,Novalja,TUI,,,,-4152578851996174177,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CIN10008-DYB,HR,,Resort small,Kroatië,2021-12-15,2018-04-01,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,42.907289,16.795689,,,Bronze,0,Prizba,TUI,,,,3554184521091912649,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CIS02155-F,HR,,Resort Medium,Kroatië,2021-12-15,2018-04-28,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,44.961165,13.85284,,,Bronze,52215,Vodnjan,TUI,,,,-6859742047500528878,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CKV06135-EYA,HR,,Resort Medium,Kroatië,2021-12-15,2018-03-31,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,45.128526,14.789799,,,Bronze,51250,Novi Vinodolski,TUI,,,,-3581731608233473510,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CKV07008-CYC,HR,,Resort Medium,Kroatië,2021-12-15,2018-05-12,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,33.09154,-96.80659,,,Bronze,0,Icici,TUI,,,,5433954606535440375,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
COC01222-F,ES,,,Spanje,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,38.013868,-0.691799,,,Bronze,0,San Luis /Torrevieja,TUI,,,,-4114790145590280973,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
COC01371-FYB,ES,,,Spanje,2021-12-15,2018-04-01,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,38.643647,0.045688,,,Bronze,3710,Calpe,TUI,,,,-7446663844396302636,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CON01419-CYG,ES,,Single home,Spanje,2021-12-15,2018-04-01,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,41.700599,2.839819,,,Bronze,17310,Lloret de Mar,TUI,,,,3540675488761656924,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CON02279-SYB,ES,,Single home,Spanje,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,41.21515,1.727446,,,Bronze,0,Vilanova i la Geltrú,TUI,,,,4569209028149631221,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
COS02155-DYC,ES,,Single home,Spanje,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,36.381667,-5.211389,,,Bronze,0,Casares Costa,TUI,,,,3637508874750451223,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
DMG03043-P,DE,,Resort small,Duitsland,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,51.747113,10.804833,,,Bronze,38875,Elbingerode,TUI,,,,6404206474634447728,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
DMG03505-CYA,DE,,Single home,Duitsland,2021-12-15,2017-11-04,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,51.630265,10.584205,,,Bronze,37447,Wieda,TUI,,,,-7690973429934462284,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
DMG10027-P,DE,,Resort Medium,Duitsland,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,47.733386,8.167332,,,Bronze,0,Höchenschwand,TUI,,,,-7754230597871245206,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
DMS01090-IYB,DE,,Single home,Duitsland,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,53.603518,11.557119,,,Bronze,0,Pinnow,TUI,,,,-1381918849835469198,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
DMS02164-DYD,DE,,Resort Medium,Duitsland,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,53.461755,12.261819,,,Bronze,19395,Plau am See,TUI,,,,-3434175149082940366,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
DMS02164-SYE,DE,,Resort Medium,Duitsland,2021-12-15,2018-01-06,,,,,Manual,,System,system,System,system,HOS HomeOwner Service,CommSupport,System,system,W,55,55,Net,,no,53.461755,12.261819,,,Bronze,19395,Plau am See,TUI,,,,-893309812753556756,huis-a-15-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
