Number,Description,Hash,OriginFile,LoadEpoch,LoadDatetime
20,"[{'Language': 'NL', 'Description': 'Kasteel'}
 {'Language': 'NO', 'Description': 'Slott'}
 {'Language': 'FR', 'Description': 'Château'}
 {'Language': 'DE', 'Description': 'Schloss'}
 {'Language': 'EN', 'Description': 'Castle'}
 {'Language': 'SV', 'Description': 'Slott'}
 {'Language': 'IT', 'Description': 'Castello'}
 {'Language': 'ES', 'Description': 'Castillo/Fortaleza'}
 {'Language': 'DA', 'Description': 'Slot'}]",-2991202031844341547,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
30,"[{'Language': 'NL', 'Description': 'Cottage'}
 {'Language': 'NO', 'Description': 'Hytte'}
 {'Language': 'FR', 'Description': 'Gîte'}
 {'Language': 'DE', 'Description': 'Cottage'}
 {'Language': 'EN', 'Description': 'Cottage'}
 {'Language': 'SV', 'Description': 'Stuga'}
 {'Language': 'IT', 'Description': 'Cottage'}
 {'Language': 'ES', 'Description': 'Casa rural'}
 {'Language': 'DA', 'Description': 'Sommerhus'}]",6172652865722684080,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
40,"[{'Language': 'NL', 'Description': 'Landhuis'}
 {'Language': 'NO', 'Description': 'Herregård'}
 {'Language': 'FR', 'Description': 'Demeure/Manoir'}
 {'Language': 'DE', 'Description': 'Landhaus'}
 {'Language': 'EN', 'Description': 'Mansion'}
 {'Language': 'SV', 'Description': 'Herregård'}
 {'Language': 'IT', 'Description': 'Dimora/Maniero'}
 {'Language': 'ES', 'Description': 'Casa rústica'}
 {'Language': 'DA', 'Description': 'Herregård'}]",-6496282106664548233,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
50,"[{'Language': 'NL', 'Description': 'Villa'}
 {'Language': 'NO', 'Description': 'Villa'}
 {'Language': 'FR', 'Description': 'Villa'}
 {'Language': 'DE', 'Description': 'Villa'}
 {'Language': 'EN', 'Description': 'Villa'}
 {'Language': 'SV', 'Description': 'Villa'}
 {'Language': 'IT', 'Description': 'Villa'}
 {'Language': 'ES', 'Description': 'Villa'}
 {'Language': 'DA', 'Description': 'Villa'}]",-8261536000293822,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
60,"[{'Language': 'NL', 'Description': 'Chalet'}
 {'Language': 'NO', 'Description': 'Chalet'}
 {'Language': 'FR', 'Description': 'Chalet'}
 {'Language': 'DE', 'Description': 'Chalet'}
 {'Language': 'EN', 'Description': 'Chalet'}
 {'Language': 'SV', 'Description': 'Chalet'}
 {'Language': 'IT', 'Description': 'Chalet'}
 {'Language': 'ES', 'Description': 'Cabaña'}
 {'Language': 'DA', 'Description': 'Chalet'}]",-2028270329304105889,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
70,"[{'Language': 'NL', 'Description': 'Boerderij'}
 {'Language': 'NO', 'Description': 'Våningshus'}
 {'Language': 'FR', 'Description': 'Ferme'}
 {'Language': 'DE', 'Description': 'Bauernhof'}
 {'Language': 'EN', 'Description': 'Farmhouse'}
 {'Language': 'SV', 'Description': 'Bondgård'}
 {'Language': 'IT', 'Description': 'Fattoria'}
 {'Language': 'ES', 'Description': 'Finca'}
 {'Language': 'DA', 'Description': 'Bondehus'}]",7779671404898871379,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
75,"[{'Language': 'NL', 'Description': 'Tiny House'}
 {'Language': 'NO', 'Description': 'Tiny House'}
 {'Language': 'FR', 'Description': 'Tiny House'}
 {'Language': 'DE', 'Description': 'Tiny House'}
 {'Language': 'EN', 'Description': 'Tiny House'}
 {'Language': 'SV', 'Description': 'Tiny House'}
 {'Language': 'IT', 'Description': 'Tiny House'}
 {'Language': 'ES', 'Description': 'Tiny House'}
 {'Language': 'DA', 'Description': 'Tiny House'}]",-4527197754989950423,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
80,"[{'Language': 'NL', 'Description': 'Bungalow'}
 {'Language': 'NO', 'Description': 'Bungalow'}
 {'Language': 'FR', 'Description': 'Bungalow'}
 {'Language': 'DE', 'Description': 'Bungalow'}
 {'Language': 'EN', 'Description': 'Bungalow'}
 {'Language': 'SV', 'Description': 'Bungalow'}
 {'Language': 'IT', 'Description': 'Bungalow'}
 {'Language': 'ES', 'Description': 'Bungalow'}
 {'Language': 'DA', 'Description': 'Bungalow'}]",372229064537814905,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
90,"[{'Language': 'NL', 'Description': 'Boot'}
 {'Language': 'NO', 'Description': 'Båt'}
 {'Language': 'FR', 'Description': 'Bateau'}
 {'Language': 'DE', 'Description': 'Boot'}
 {'Language': 'EN', 'Description': 'Boat'}
 {'Language': 'SV', 'Description': 'Båt'}
 {'Language': 'IT', 'Description': 'Battello'}
 {'Language': 'ES', 'Description': 'Barco'}
 {'Language': 'DA', 'Description': 'Båd'}]",-4834748960325212348,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
95,"[{'Language': 'NL', 'Description': 'Woonboot'}
 {'Language': 'NO', 'Description': 'Husbåt'}
 {'Language': 'FR', 'Description': 'Maison-Bateau'}
 {'Language': 'DE', 'Description': 'Wohnboot'}
 {'Language': 'EN', 'Description': 'House Boat'}
 {'Language': 'SV', 'Description': 'Husbåt'}
 {'Language': 'IT', 'Description': 'Casa galleggiante'}
 {'Language': 'ES', 'Description': 'Casa barco'}
 {'Language': 'DA', 'Description': 'Husbåd'}]",-6835751586623212680,neig-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
