Code,Description,Hash,OriginFile,LoadEpoch,LoadDatetime
A,"[{'Language': 'NL', 'Description': 'Afspraak'}
 {'Language': 'NO', 'Description': 'Avtale'}
 {'Language': 'FR', 'Description': 'Rendez-vous'}
 {'Language': 'DE', 'Description': 'Termin'}
 {'Language': 'EN', 'Description': 'Appointment'}
 {'Language': 'SV', 'Description': 'Avtalad tid'}
 {'Language': 'IT', 'Description': 'Appuntamento'}
 {'Language': 'ES', 'Description': 'Cita'}
 {'Language': 'DA', 'Description': 'Aftale'}]",6693648379730648256,stat-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
C,"[{'Language': 'NL', 'Description': 'Contract verstuurd'}
 {'Language': 'NO', 'Description': 'Formidlingsavtalen sendt'}
 {'Language': 'FR', 'Description': 'Contrat envoyé'}
 {'Language': 'DE', 'Description': 'Vertrag zugeschickt'}
 {'Language': 'EN', 'Description': 'Contract sent'}
 {'Language': 'SV', 'Description': 'Avtalet skickas'}
 {'Language': 'IT', 'Description': 'Contratto Spedito'}
 {'Language': 'ES', 'Description': 'Contrato Enviado'}
 {'Language': 'DA', 'Description': 'Formidlingsaftale sendt'}]",4991584758409991827,stat-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CA,"[{'Language': 'NL', 'Description': 'Contract goedgekeurd'}
 {'Language': 'NO', 'Description': 'Kontrakt godkjent'}
 {'Language': 'FR', 'Description': 'Contrat approuvé'}
 {'Language': 'DE', 'Description': 'Vertrag genehmigt'}
 {'Language': 'EN', 'Description': 'Contract approved'}
 {'Language': 'SV', 'Description': 'Kontrakt godkänt'}
 {'Language': 'IT', 'Description': 'Contratto approvato'}
 {'Language': 'ES', 'Description': 'Contrato aprobado'}
 {'Language': 'DA', 'Description': 'Kontrakt godkendt'}]",-1076621902320281699,stat-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CO,"[{'Language': 'NL', 'Description': 'Contract Ontvangen'}
 {'Language': 'NO', 'Description': 'Formidlingsavtale mottatt'}
 {'Language': 'FR', 'Description': 'Contrat reçu'}
 {'Language': 'DE', 'Description': 'Vertrag erhalten'}
 {'Language': 'EN', 'Description': 'Contract recieved'}
 {'Language': 'SV', 'Description': 'Kontrakt mottaget'}
 {'Language': 'IT', 'Description': 'Contratto Ricevuto'}
 {'Language': 'ES', 'Description': 'Contrato Recibido'}
 {'Language': 'DA', 'Description': 'Formidlingsaftale modtage'}]",5283973568751222484,stat-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
CR,"[{'Language': 'NL', 'Description': 'Contract afgewezen'}
 {'Language': 'NO', 'Description': 'Kontrakt avvist'}
 {'Language': 'FR', 'Description': 'Contrat rejeté'}
 {'Language': 'DE', 'Description': 'Vertrag abgelehnt'}
 {'Language': 'EN', 'Description': 'Contract rejected'}
 {'Language': 'SV', 'Description': 'Kontrakt avvisat'}
 {'Language': 'IT', 'Description': 'Contratto respinto'}
 {'Language': 'ES', 'Description': 'Contrato rechazado'}
 {'Language': 'DA', 'Description': 'Kontrakt afvist'}]",2223846261310158242,stat-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
D,"[{'Language': 'NL', 'Description': 'Definitief'}
 {'Language': 'NO', 'Description': 'Kontrakt'}
 {'Language': 'FR', 'Description': 'Définitif'}
 {'Language': 'DE', 'Description': 'Definitiv'}
 {'Language': 'EN', 'Description': 'Definite'}
 {'Language': 'SV', 'Description': 'Kontrakt'}
 {'Language': 'IT', 'Description': 'Definitivo'}
 {'Language': 'ES', 'Description': 'Definitivo'}
 {'Language': 'DA', 'Description': 'Kontrakt'}]",1734217775579694967,stat-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
DP,"[{'Language': 'NL', 'Description': 'Definitief Probleem'}
 {'Language': 'NO', 'Description': 'Kontrakt med problem'}
 {'Language': 'FR', 'Description': 'Définitif Problème'}
 {'Language': 'DE', 'Description': 'Definitiv Problem'}
 {'Language': 'EN', 'Description': 'Definite Problem'}
 {'Language': 'SV', 'Description': 'Kontrakt med problem'}
 {'Language': 'IT', 'Description': 'Definitivo Problema'}
 {'Language': 'ES', 'Description': 'Definitivo Problema'}
 {'Language': 'DA', 'Description': 'Kontrakt med problem'}]",6004325500757461971,stat-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
H,"[{'Language': 'NL', 'Description': 'In de wacht'}
 {'Language': 'NO', 'Description': 'På vent'}
 {'Language': 'FR', 'Description': 'En attente'}
 {'Language': 'DE', 'Description': 'In Wartestellung'}
 {'Language': 'EN', 'Description': 'On hold'}
 {'Language': 'SV', 'Description': 'Placerad i kö'}
 {'Language': 'IT', 'Description': 'In attesa'}
 {'Language': 'ES', 'Description': 'En espera'}
 {'Language': 'DA', 'Description': 'I venteposition'}]",-3997960020805256072,stat-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
I,"[{'Language': 'NL', 'Description': 'Invoer'}
 {'Language': 'NO', 'Description': 'Opplysninger'}
 {'Language': 'FR', 'Description': 'Entrée'}
 {'Language': 'DE', 'Description': 'Eingabe'}
 {'Language': 'EN', 'Description': 'Input'}
 {'Language': 'SV', 'Description': 'Input'}
 {'Language': 'IT', 'Description': 'Inserimento'}
 {'Language': 'ES', 'Description': 'Introducción'}
 {'Language': 'DA', 'Description': 'Input'}]",311381252716520288,stat-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
IV,"[{'Language': 'NL', 'Description': 'Info verzonden'}
 {'Language': 'NO', 'Description': 'Opplysning sendt'}
 {'Language': 'FR', 'Description': 'Infos envoyées'}
 {'Language': 'DE', 'Description': 'Info verschickt'}
 {'Language': 'EN', 'Description': 'Information sent'}
 {'Language': 'SV', 'Description': 'Information skickad'}
 {'Language': 'IT', 'Description': 'Informazioni Spedite'}
 {'Language': 'ES', 'Description': 'Información Enviada'}
 {'Language': 'DA', 'Description': 'Oplysning sendt'}]",-5384075448428181889,stat-v1.20260129,1769688004.4726071,2026-01-29 12:00:04
