ACCOMMODATION_CODE,ACCOMMODATION_NAME,ACCOMMODATION_TYPE,ACCOMMODATION_TYPE_NEW,ACCOMMODATION_STATUS_CODE,ACCOMMODATION_CHANNEL,ACCOMMODATION_COUNTRY,ACCOMMODATION_REGION,ACCOMMODATION_CITY,ACCOMMODATION_ZIPCODE,ACCOMMODATION_LATITUDE,ACCOMMODATION_LONGITUDE,ACCOMMODATION_NUMBER_OF_PERSONS,ACCOMMODATION_NUMBER_OF_PETS,ACCOMMODATION_SIZE,CONTRACT_TYPE,CONTRACT_DATE,PLANNING_CODES,BOOKINGCOM_ID,AIRBNB_ID,HOMEAWAY_ID,EXPEDIA_ID,ACCOMMODATION_REVIEW_SCORE,OWNER_ID,OWNER_TYPE,OWNER_COMPANY_NAME,HOMEOWNER_CREATION_DATE,OWNER_LANGUAGE_CODE,OWNER_COUNTRY_CODE,OWNER_CITY,OWNER_ZIPCODE,OWNER_WEBSITE
DOS07175-P,Ferienwohnung Lohme,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Lohme,18551,54.581665,13.615431,4,0,44.0,Net,2024-05-16,DOS07175-P-01,,"1421602594109838130,1421602594109838130",2962982.0,,8.6,1046096,Private Homeowner,,2021-09-24,DE,DE,Lohme,18551,
DOS07176-F,Ferienhaus Poseidon Vieregge - Am Breetzer Bodden 14 A,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Vieregge,18569,54.566776,13.325052,4,0,84.0,Gross,2024-06-17,DOS07176-F-01,,"1218785909419672461,1218785909419672461",2962985.0,,8.5,1046123,Private Homeowner,,2021-09-24,DE,DE,Berlin,12623,
DOS07178-CYB,,Holiday home,Holiday home,W,,Germany,,Baabe,0,54.36035,13.704913,2,0,80.0,Net,,DOS07178-CYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07178-DYC,,Holiday home,Holiday home,W,,Germany,,Baabe,0,54.36035,13.704913,2,0,80.0,Net,,DOS07178-DYC-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07178-SYA,,Holiday home,Holiday home,W,,Germany,,Baabe,0,54.36035,13.704913,2,0,80.0,Net,,DOS07178-SYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07180-F,Ferienhaus Lotsenhaus Vieregge,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Vieregge,18569,54.566837,13.327279,6,1,100.0,Gross,2024-06-17,DOS07180-F-01,,"48101937,1841362",5307084.0,,8.6,1046159,Private Homeowner,,2021-09-24,DE,DE,Hoisdorf,22955,
DOS07181-SYA,,Holiday home,Holiday home,W,,Germany,,Sellin,18586,54.37698,13.6918,2,0,80.0,Net,,DOS07181-SYA-01,,,2962994.0,,,55,Local Office,,,DE,DE,,,
DOS07182-CYA,,Holiday home,Holiday home,W,,Germany,,Binz,18609,43.710322,-79.399339,2,0,80.0,Net,,DOS07182-CYA-01,,,2962998.0,,,55,Local Office,,,DE,DE,,,
DOS07182-CYB,,Holiday home,Holiday home,W,,Germany,,Binz,18609,43.710322,-79.399339,2,0,80.0,Net,,DOS07182-CYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07183-CYA,,Holiday home,Holiday home,W,,Germany,,Binz,18609,43.710322,-79.399339,2,0,80.0,Net,,DOS07183-CYA-01,,,2963004.0,,,55,Local Office,,,DE,DE,,,
DOS07184-F,Ferienhaus Vieregge,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Vieregge,18569,54.566776,13.325052,6,0,110.0,Gross,2023-06-05,DOS07184-F-01,"4468100,446810002,13512036",,2963006.0,,8.5,1046170,Private Homeowner,,2021-09-24,DE,DE,Altenkirchen,18556,
DOS07185-P,,Holiday home,Holiday home,W,,Germany,,Göhren,0,54.341591,13.740908,2,0,80.0,Net,,DOS07185-P-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07186-L,DHH Rügentraum,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Glowe,18551,54.56648,13.453828,6,0,77.0,Net,2024-06-17,DOS07186-L-01,"4467785,446778502,13512038",,2963013.0,,,1046267,Private Homeowner,,2021-09-24,DE,DE,Harsum,31177,
DOS07188-P,Chalet Heiderose Spa,Apartment,Apartment,DP,,Germany,Mecklenburg Western Pomerania,Kluis,18569,54.483818,13.299271,6,0,141.0,Gross,,DOS07188-P-01,"6853120,685312002,20045705",,5086344.0,,8.7,1056622,Private Homeowner,,2022-05-02,DE,DE,Berlin Spandau,13591,
DOS07189-L,Doppelhaushälfte Lotte Vieregge,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Vieregge,18569,54.566776,13.326587,6,2,80.0,Gross,2024-06-17,DOS07189-L-01,,"48101958,1841367",2963018.0,,8.4,1046311,,,2021-09-24,DE,DE,Bochum,44789,
DOS07190-L,Doppelhaushälfte Sprotte Vieregge,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Vieregge,18569,54.566715,13.326638,6,2,80.0,Gross,2024-06-17,DOS07190-L-01,,"48101964,1841368",5306795.0,,7.8,1046311,,,2021-09-24,DE,DE,Bochum,44789,
DOS07191-P,Ferienwohnung Sassnitz,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Sassnitz,18546,54.5174,13.653732,2,0,38.0,Gross,2024-06-25,DOS07191-P-01,,"1513800025998708633,1513800025998708633",2963028.0,,8.6,1046312,Private Homeowner,,2021-09-24,DE,DE,Sassnitz,18546,
DOS07194-F,,Holiday home,Holiday home,W,,Germany,,Vieregge,18569,44.811633,-93.329054,2,0,80.0,Net,,DOS07194-F-01,,,2963031.0,,,55,Local Office,,,DE,DE,,,
DOS07195-CYA,,Holiday home,Holiday home,W,,Germany,,Breege,18556,54.616166,13.365932,2,0,80.0,Net,,DOS07195-CYA-01,,,2963037.0,,,55,Local Office,,,DE,DE,,,
DOS07195-CYB,,Holiday home,Holiday home,W,,Germany,,Breege,18556,54.616166,13.365932,2,0,80.0,Net,,DOS07195-CYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07197-L,Doppelhaus Westwind Vieregge,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Vieregge,18569,54.566776,13.325052,6,0,80.0,Gross,2024-06-18,DOS07197-L-01,,,2963042.0,,8.5,1046575,,,2021-09-24,DE,DE,Berlin,10117,
DOS07198-F,,Holiday home,Holiday home,W,,Germany,,Vieregge,18569,44.811633,-93.329054,2,0,80.0,Net,,DOS07198-F-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07200-L,"Semi-detached house Windflüchter, Breege-DHH Windflüchter",Holiday home,Holiday home,DP,,Germany,Mecklenburg Western Pomerania,Breege,18556,54.61449,13.374338,6,0,107.0,Net,,DOS07200-L-01,"7904670,790467002,24402333","48358118,1866032",2963045.0,,9.0,1046670,,,2021-09-24,DE,DE,Stuttgart,70565,
DOS07201-LYA,,Holiday home,Holiday home,W,,Germany,,Vieregge,18569,44.811633,-93.329054,2,0,80.0,Net,,DOS07201-LYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07201-LYB,,Holiday home,Holiday home,W,,Germany,,Vieregge,18569,44.811633,-93.329054,2,0,80.0,Net,,DOS07201-LYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07202-FYD,,Holiday home,Holiday home,W,,Germany,,Vieregge,18569,44.811633,-93.329054,2,0,80.0,Net,,DOS07202-FYD-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07202-IYA,,Holiday home,Holiday home,W,,Germany,,Vieregge,18569,44.811633,-93.329054,2,0,80.0,Net,,DOS07202-IYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07202-IYB,,Holiday home,Holiday home,W,,Germany,,Vieregge,18569,44.811633,-93.329054,2,0,80.0,Net,,DOS07202-IYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07202-IYC,,Holiday home,Holiday home,W,,Germany,,Vieregge,18569,44.811633,-93.329054,2,0,80.0,Net,,DOS07202-IYC-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07203-F,,Holiday home,Holiday home,W,,Germany,,Sagard,0,40.756615,-73.975638,2,0,80.0,Net,,DOS07203-F-01,,,2963049.0,,,55,Local Office,,,DE,DE,,,
DOS07204-F,,Holiday home,Holiday home,W,,Germany,,Glowe,18551,32.336638,-90.863753,2,0,80.0,Net,,DOS07204-F-01,,,2963053.0,,,55,Local Office,,,DE,DE,,,
DOS07205-CYB,"Ferienresidenz Ostseeperle Boardinghouse Comfort App Glowe-Comfort Apart (Bordinghouse), 50 qm",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Glowe,18551,54.568287,13.457526,4,0,50.0,Gross,,DOS07205-CYB-01,"4715971,471597102,14012906",,2963061.0,,10.0,1050559,,,2021-09-24,DE,DE,Unna,59525,
DOS07205-CYC,"Ferienresidenz Ostseeperle Boardinghouse Roof-Top-App  Glowe-Roof-Top Apart (Boardinghouse), 65 qm",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Glowe,18551,54.568287,13.457526,2,0,52.0,Gross,,DOS07205-CYC-01,"4715972,471597202,14012910",,2963066.0,,9.0,1050559,,,2021-09-24,DE,DE,Unna,59525,
DOS07205-CYD,"Ferienresidenz Ostseeperle Boardinghouse Classic 45 qm Glowe-Classic (Boardinghouse), 45 qm",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Glowe,18551,54.568287,13.457526,2,0,45.0,Gross,,DOS07205-CYD-01,"4721852,472185202,14017695",,2963073.0,,10.0,1050559,,,2021-09-24,DE,DE,Unna,59525,
DOS07205-CYE,"Ferienresidenz Ostseeperle Boardinghouse Classic 48 qm Glowe-Classic (Boardinghouse), 48 qm",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Glowe,18551,54.568287,13.457526,3,0,48.0,Gross,,DOS07205-CYE-01,"4721853,472185302,14017696",,2963081.0,,10.0,1050559,,,2021-09-24,DE,DE,Unna,59525,
DOS07205-SYA,"Ferienresidenz Ostseeperle Boardinghouse Studio Glowe-Studio Apart (Boardinghouse), 38 qm",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Glowe,18551,54.568287,13.457526,2,0,38.0,Gross,,DOS07205-SYA-01,"4715973,471597302,14012912",,2963088.0,,10.0,1050559,,,2021-09-24,DE,DE,Unna,59525,
DOS07205-SYF,"Ferienresidenz Ostseeperle Boardinghouse Premium Studio  Glowe-Premium Studio (Boardinghouse), 40 qm",Apartment,Apartment,W,,Germany,Mecklenburg Western Pomerania,Glowe,18551,54.568287,13.457526,2,0,40.0,Gross,,DOS07205-SYF-01,"4732070,473207003,14017697",,2963096.0,,10.0,1050559,,,2021-09-24,DE,DE,Unna,59525,
DOS07206-P,,Holiday home,Holiday home,W,,Germany,,Sassnitz,18546,54.515913,13.633192,2,0,80.0,Net,,DOS07206-P-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07207-L,Doppelhaushälfte Breetzer Boddentraum Vieregge,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Vieregge,18569,54.566776,13.325052,6,0,80.0,Gross,2024-06-18,DOS07207-L-01,,"48101999,1841377",5505070.0,,8.0,1046772,Private Homeowner,,2021-09-24,DE,DE,Flörsheim am Main,65439,
DOS07208-LYA,,Holiday home,Holiday home,W,,Germany,,Sellin,18586,54.37698,13.6918,2,0,80.0,Net,,DOS07208-LYA-01,,,2963105.0,,,55,Local Office,,,DE,DE,,,
DOS07208-LYB,,Holiday home,Holiday home,W,,Germany,,Sellin,18586,54.37698,13.6918,2,0,80.0,Net,,DOS07208-LYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07211-F,,Holiday home,Holiday home,W,,Germany,,Glowe,18551,32.336638,-90.863753,2,0,80.0,Net,,DOS07211-F-01,,,,,,55,Local Office,,,DE,DE,,,
DOS07212-FYA,KNAUS Campingpark Rügen Altenkirchen Ferienhaus,Holiday home,Holiday home,W,,Germany,Baltic Sea Region,Altenkirchen,18556,54.636843,13.37519,4,0,50.0,Net,2021-12-27,DOS07212-FYA-01 - DOS07212-FYA-02,"7036043,703604302,20788583",,2963113.0,,9.0,1050111,,,2021-09-24,DE,DE,Ochsenfurt,97199,www.albatross.eu
DOS08001-L,DHH Strandhaus links,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095743,13.877481,6,0,103.0,Assured revenue management flexibility (Minimum Guarantee MG),2024-08-30,DOS08001-L-01,"4467787,446778702,13512048","1218846678812707156,1218846678812707156",5504781.0,,8.7,1050718,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08001-LYA,DHH Strandhaus links 2 P,Holiday home,Holiday home,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095743,13.877481,2,0,75.0,Gross,2024-01-25,DOS08001-L-01,"10898447,1089844702,39401419","1002720615179845327,1002720615179845327",,,,1050718,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08001-LYB,DHH Strandhaus links 4 P,Holiday home,Holiday home,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095743,13.877481,4,0,90.0,Gross,2024-01-25,DOS08001-L-01,"11022006,1102200602,39996466","1002720642316557837,1002720642316557837",,,,1050718,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08002-L,DHH Strandhaus II rechts,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095738,13.877641,6,0,110.0,Assured revenue management flexibility (Minimum Guarantee MG),2024-08-30,DOS08002-L-01,"14855698,1485569801,57931836","48102002,1841379",5306376.0,,8.6,1050718,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08002-LYA,DHH Strandhaus II rechts 2 Personen,Holiday home,Holiday home,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095738,13.877641,2,0,75.0,Gross,2024-01-25,DOS08002-L-01,"9146091,914609102,31565729","741684370344875032,741684370344875032",,,8.5,1050718,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08002-LYB,DHH Strandhaus II rechts 4 P,Holiday home,Holiday home,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095738,13.877641,4,0,110.0,Gross,2024-01-25,DOS08002-L-01,"11661585,1166158502,42977833","1002720669182333475,1002720669182333475",,,8.5,1050718,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08003-L,DHH Dünenhaus I links DHH,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095045,13.877884,8,0,110.0,Assured revenue management flexibility (Minimum Guarantee MG),2024-08-30,DOS08003-L-01,,"1216581933549867828,1216581933549867828",2963125.0,,8.9,1050170,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08004-L,DHH Dünenhaus II rechts,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.09489,13.878163,8,0,110.0,Assured revenue management flexibility (Minimum Guarantee MG),2024-08-30,DOS08004-L-01,,"48102007,1841381",2963128.0,,8.9,1050720,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08005-L,DHH Ostseehaus  I links,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095569,13.877431,8,0,120.0,Assured revenue management flexibility (Minimum Guarantee MG),2024-08-30,DOS08005-L-01,,"48102012,1841382",2963133.0,,8.6,1050720,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08005-LYA,DHH Ostseehaus  I links 2 Personen,Holiday home,Holiday home,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095569,13.877431,2,0,80.0,Gross,2024-01-26,DOS08005-L-01,"9146084,914608402,31565716","741684398119135211,741684398119135211",5285957.0,,,1050720,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08005-LYB,DHH Ostseehaus  I links 4 Personen,Holiday home,Holiday home,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095569,13.877431,4,0,80.0,Gross,2024-01-26,DOS08005-L-01,"9890507,989050702,34788055","866346303869325191,866346303869325191",5346816.0,,,1050720,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08006-L,DHH Ostseehaus II rechts,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095314,13.877066,8,0,120.0,Assured revenue management flexibility (Minimum Guarantee MG),2024-08-30,DOS08006-L-01,"4467792,446779202,13512054","1218725891080987737,1218725891080987737",2963137.0,,8.8,1050720,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08006-LYA,DHH Ostseehaus II rechts 2 P,Holiday home,Holiday home,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095314,13.877066,2,0,120.0,Gross,2024-01-26,DOS08006-L-01,"9903267,990326702,34841754","866346334388414279,866346334388414279",5346817.0,,,1050720,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08006-LYB,DHH Ostseehaus II rechts 4 P,Holiday home,Holiday home,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095314,13.877066,4,0,120.0,Gross,2024-01-26,DOS08006-L-01,"9863993,986399302,34670132","866346368860972424,866346368860972424",5346818.0,,,1050720,Private Homeowner,,2021-09-24,DE,DE,Westerstede,26655,
DOS08007-L,DHH Bernsteinhaus links,Holiday home,Holiday home,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095556,13.877839,8,0,120.0,Assured revenue management flexibility (Minimum Guarantee MG),2024-08-30,DOS08007-L-01,,"48102021,1841384",2963144.0,,8.4,1050721,Private Homeowner,,2021-09-24,DE,DE,Burg-Müschen,03096,
DOS08009-IYA,Dünenwaldhaus links Typ 1,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.09567,13.877607,8,0,115.0,Assured revenue management flexibility (Minimum Guarantee MG),2024-08-30,DOS08009-IYA-01,"4715977,471597702,14012919","1218967341342444284,1218967341342444284",2963149.0,,8.6,1050752,,,2021-09-24,DE,DE,Westerstede,26655,
DOS08009-IYB,"Dünenwaldhaus rechts Typ 2-Dünenwaldhaus rechts, Typ 2-Dünenwaldhaus rechts, Typ 2",Apartment,Apartment,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.09559,13.877086,6,0,115.0,Gross,,DOS08009-IYB-01,"4715978,471597802,14012922","48102027,1841386",2963156.0,,8.6,1050752,,,2021-09-24,DE,DE,Westerstede,26655,
DOS08009-IYC,"Dünenwaldhaus mitte Typ 3-Dünenwaldhaus mitte, Typ 3-Dünenwaldhaus mitte, Typ 3",Apartment,Apartment,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.09559,13.877086,7,0,135.0,Gross,,DOS08009-IYC-01,"4715979,471597902,14012925","48102029,1841387",2963162.0,,9.0,1050752,,,2021-09-24,DE,DE,Westerstede,26655,
DOS08010-P,Meeresrausch 1 OG Goethestraße,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Ahlbeck,17419,53.944225,14.183342,2,0,33.0,Gross,2024-07-01,DOS08010-P-01,,"48102031,1841388",2963167.0,,8.6,1044718,Private Homeowner,,2021-09-24,DE,DE,Heringsdorf OT Ahlbeck,17419,
DOS08011-P,"Holiday flat, Koserow-",Apartment,Apartment,W,,Germany,Ostsee,Koserow,17459,54.05414,13.999791,4,0,56.0,Net,,DOS08011-P-01,,,2963172.0,,8.6,1044671,,,2021-09-24,DE,DE,Koserow,17459,
DOS08027-DYA,,Holiday home,Holiday home,W,,Germany,,Trassenheide,17449,54.085787,13.864722,2,0,80.0,Net,,DOS08027-DYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08027-DYB,,Holiday home,Holiday home,W,,Germany,,Trassenheide,17449,54.085787,13.864722,2,0,80.0,Net,,DOS08027-DYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08027-DYC,,Holiday home,Holiday home,W,,Germany,,Trassenheide,17449,54.085787,13.864722,2,0,80.0,Net,,DOS08027-DYC-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08027-DYD,,Holiday home,Holiday home,W,,Germany,,Trassenheide,17449,54.085787,13.864722,2,0,80.0,Net,,DOS08027-DYD-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08031-DYA,EG Links Haus 4 Nr 9,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.09383,13.877884,4,0,56.0,Net,2024-06-17,DOS08031-DYA-01,,"1513800564868846024,1513800564868846024",5306892.0,,9.0,1047370,Private Homeowner,,2021-09-24,DE,DE,Fallingbostel,29683,
DOS08031-DYB,,Holiday home,Holiday home,W,,Germany,,Trassenheide,17449,54.085787,13.864722,2,0,80.0,Net,,DOS08031-DYB-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08058-F,Landhaus Anemone,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Rankwitz,17406,53.95429,13.918168,4,0,60.0,Net,,DOS08058-F-01,"4468139,446813902,13512061",,2963180.0,,9.6,1048415,Private Homeowner,,2021-09-24,DE,DE,Ducherow,17398,
DOS08059-F,Landhaus Bibernelle,Holiday home,Holiday home,W,,Germany,Mecklenburg Western Pomerania,Rankwitz,17406,53.9542,13.918336,4,0,70.0,Net,,DOS08059-F-01,"4468109,446810902,13512063",,2963185.0,,9.2,1048415,Private Homeowner,,2021-09-24,DE,DE,Ducherow,17398,
DOS08066-P,Trassenheide-Ferienwohnung EG rechts,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.09171,13.853324,4,2,67.0,Gross,2024-05-08,DOS08066-P-01,,"1421120128576928538,1421120128576928538",2963189.0,,8.9,1045012,Private Homeowner,,2021-09-24,DE,DE,Woldegk,17348,
DOS08067-DYA,,Holiday home,Holiday home,W,,Germany,,Trassenheide,17449,54.085787,13.864722,2,0,80.0,Net,,DOS08067-DYA-01,,,,,,55,Local Office,,,DE,DE,,,
DOS08070-FYA,FH für 6 Pers Typ 1,Holiday home,Holiday home,D,,Germany,Baltic Sea Region,Bansin,17429,53.96139,14.133175,6,1,120.0,Gross,2024-10-01,DOS08070-FYA-01,,"1513800600271692240,1513800600271692240",5306843.0,,8.7,1045059,,,2021-09-24,DE,DE,Ostseebad Heringsdorf\\\\\\\/Ahlbeck,17419,https://aufnachusedom.de/
DOS08073-CYA,Im 1 OG,Apartment,Apartment,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095569,13.877431,4,0,65.0,Net,2022-08-08,DOS08073-CYA-01,"4715981,471598102,14012941","48102062,1841395",2963198.0,,8.2,1045098,Private Homeowner,,2021-09-24,DE,DE,Burg Stargard / Bargensdorf,17094,
DOS08073-DYB,Im 2 OG,Apartment,Apartment,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095569,13.877431,4,0,70.0,Net,2022-08-08,DOS08073-DYB-01,"4715984,471598402,14012944","48102067,1841396",2963204.0,,8.5,1045098,Private Homeowner,,2021-09-24,DE,DE,Burg Stargard / Bargensdorf,17094,
DOS08073-DYC,Im EG,Apartment,Apartment,DP,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.095569,13.877431,3,0,60.0,Net,2022-08-08,DOS08073-DYC-01,"4715985,471598502,14012947","48102072,1841397",2963209.0,,8.8,1045098,Private Homeowner,,2021-09-24,DE,DE,Burg Stargard / Bargensdorf,17094,
DOS08076-CYA,EG rechts 50 qm,Apartment,Apartment,D,,Germany,Mecklenburg Western Pomerania,Trassenheide,17449,54.0961,13.876554,4,0,50.0,Gross,2024-08-28,DOS08076-CYA-01,,"1218726213500748630,1218726213500748630",2963214.0,,8.8,1045119,,,2021-09-24,DE,DE,"Wuthenow, OT von Neuruppin",16818,
