HOUSE_ID,PROPERTY_COMPANY,FINANCIAL_ENTITY,BOOKING_ID,ORIGINAL_BOOKING_ID,BOOKING_BRAND,CHANNEL_LARS,CHANNEL_TYPE,CHANNEL_TYPE_GROUP,PARTNER_TYPE,PARTNER_CODE,PARTNER_NAME,PARTNER_NAME_GROUP,WEBSITE_ORIGIN,ACCOMMODATION_CODE,HOMEOWNER_ID,BOOKING_STATUS,BOOKING_STATUS_CODE,BOOKING_STATUS_DESCRIPTION,BOOK_DATE_OF_BOOKING,ARRIVAL_DATE,DEPARTURE_DATE,FIRST_INSTALLMENT_PROCESSED_DATE,CANCELLATION_DATE,CANCELLATION_BLAME,CANCELLATION_REASON,CANCELLATION_REASON_DESCRIPTION,RATE_PLAN_CODE,INPT_ACCO_KEY,CANCELLATION_POLICY,LARS_FM_TAG,FLEXIBLE_CANCELLATION,CANCELLATION_REQUEST,CANCELLATION_REQUEST_DATE,SELF_CANCELLATION_ALLOWED,CANCELLED_BY,SALES_CANCEL_COST,PROPERTY_CONTRACT_TYPE,PROPERTY_CONTRACT_TYPE_ACCOUNTING,PROPERTY_COUNTRY_CODE,PROPERTY_COUNTRY_NAME,PROPERTY_COUNTRY_GROUP,PROPERTY_REGION_CODE,PROPERTY_REGION_NAME,BOOKED_PROPERTY_NUMBER_OF_PERSONS,GUEST_ID,RENTAL_AGREEMENT_GUEST_COUNTRY,GUEST_COUNTRY,PARTY_NUMBER_OF_PERSONS,PARTY_NUMBER_OF_ADULTS,PARTY_NUMBER_OF_CHILDREN,PARTY_NUMBER_OF_BABIES,PARTY_NUMBER_OF_PETS,PROPERTY_BRAND,PROPERTY_CONTRACT_SEGMENT,PROPERTY_LOCAL_OFFICE_ID,PROPERTY_LOCAL_OFFICE_NAME,PROPERTY_STATUS,PROPERTY_CREATED_DATE,PROPERTY_CUR_ACTIVE_DATE,PROPERTY_CHURN_DATE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_ACCOMMODATION_TYPE,PROPERTY_ACCO_DESCRIPTION,PROPERTY_NUMBER_OF_PERSONS,PROPERTY_BEDROOM_COUNT,PROPERTY_NUM_ROOMS,CURRENCY,PAYMENT_AT_BOOKING,REVENUE_GROSS_BOOKING_VALUE,REVENUE_SERVICE,REVENUE_CLEANING,REVENUE_BOOKING_FEE,REVENUE_CANCELLATION_INSURANCE,REVENUE_PAYMENT_CHARGES_GUEST,REVENUE_RENT,REVENUE_OTHER,REVENUE_CANCELLATION_FEE,DISCOUNT_RELATION_AND_PROMOTIONAL,DISCOUNT_LAST_MINUTE,DISCOUNT_REBOOKING,DISCOUNT_SURVEY,DISCOUNT_TOTAL_OYO,DISCOUNT_LAST_MINUTE_HOMEOWNER,DISCOUNT_REBOOKING_HOMEOWNER,DISCOUNT_TOTAL_HOMEOWNER,COST_PURCHASE_TOTAL,COST_HOMEOWNER_PAYMENT,COST_INSURANCE,COST_COMMISSION_TOTAL,COST_AFFILIATE_COMMISSION,COST_AGENT_COMMISSION,COST_OTHER,BOOKED_GBV,CANCELLED_GBV,META_SRC_LOAD_TS,META_SRC_NAME
HR-00095-34-01,BELVILLA,BVAG,1VZFLXB4,4621147821_1,BV,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,booking,Booking.com,BOOKING.COM,,HR-00095-34,1056331.0,CANCELLED,B-OMB,RE-BOOKING,2025-02-14,2025-05-31,2025-06-02,2025-02-14,2025-05-03,@Leisure,plnNotClsdContractTerm,Planning not closed after Homeowner/PRK terminated the contract,50793645.0,13322064_1332206402_50793645,111.0,NO,No,No,,No,ronithc,0.0,Agency Home,AGENT,HR,CROATIA,Croatia,DAL,DALMATIA,4.0,7840705.0,MX,MX,4.0,4.0,0.0,0.0,0.0,DirectBooker,FME,,,DP,2023-07-07,2023-12-07,,42.640682,18.110166,Apartment,Apartment,4.0,2.0,2.0,EUR,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,-482.0,2026-01-29 13:40:21.175429+00:00,LARS
US-60540-01,OYO HOMES US,OHUS,1ZHX4Q1W,HMDQNDNKW9,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,airbnb_us,AirBnB for OVH US,OTHER,,US-60540-01,1013333.0,CANCELLED,B-AZV,CANCELLATION WITHOUT INSURANCE,2020-02-16,2020-03-19,2020-03-23,2020-02-16,2020-03-17,Customer,AirbnbCancellation,Cancellation through Airbnb,,,,YES,No,No,,No,,0.0,Agency Home,AGENT,US,UNITED STATES,Other,IL,ILLINOIS,8.0,5005366.0,US,US,6.0,5.0,0.0,1.0,0.0,OHUS,Agency Home,,,DE,2019-12-12,2020-02-13,,41.77588,-88.14849,Apartment,Apartment,8.0,3.0,3.0,USD,0.0,335.0,,,30.0,0.0,0.0,305.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.5,213.5,0.0,89.34,89.34,0.0,0.0,335.0,0.0,2026-01-29 13:40:21.175429+00:00,LARS
US-10462-01,OYO HOMES US,OHUS,18MD8XAA,VRBO#4acc81db-1675-4eb4-b544-107499fdbbf4,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,VRBO_US,VRBO / HomeAway for OVH US,OTHER,,US-10462-01,1028737.0,BOOKING,B-STD,BOOKING,2020-09-12,2020-09-16,2020-09-23,2020-09-12,,,,,,,,NO,No,No,,No,,0.0,FMNE,AGENT,US,UNITED STATES,Other,NY,NEW YORK,2.0,5222200.0,US,US,2.0,2.0,0.0,0.0,0.0,OHUS,FMNE,,,DP,2020-02-12,2020-03-05,,40.838372,-73.859857,Apartment,Apartment,2.0,1.0,1.0,USD,0.0,390.13,,,30.0,0.0,0.0,360.13,0.0,,0.0,-396.8,0.0,0.0,-396.8,277.76,0.0,277.76,308.33,308.33,0.0,0.0,0.0,0.0,0.0,390.13,0.0,2026-01-29 13:40:21.175429+00:00,LARS
US-92123-01,OYO HOMES US,OHUS,1LXZHFQ5,HMSD8DR9T2,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,airbnb_us,AirBnB for OVH US,OTHER,,US-92123-01,1023773.0,CANCELLED,B-AZV,CANCELLATION WITHOUT INSURANCE,2020-02-24,2020-09-24,2020-09-28,2020-02-24,2020-08-08,Customer,AirbnbCancellation,Cancellation through Airbnb,,,,NO,No,No,,No,,0.0,FME,PRINCIPAL,US,UNITED STATES,Other,CA,CALIFORNIA,8.0,5012467.0,US,US,8.0,8.0,0.0,0.0,0.0,OHUS,FME,,,DP,2020-01-11,2020-02-17,,32.80027,-117.14603,House,Holiday home,8.0,4.0,4.0,USD,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,19.6,0.0,0.0,0.0,0.0,0.0,310.0,-310.0,2026-01-29 13:40:21.175429+00:00,LARS
US-05701-02,OYO HOMES US,OHUS,1CM1JLA8,VRBO#9f361940-b0f9-4339-9392-9ab7120c92e3,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,VRBO_US,VRBO / HomeAway for OVH US,OTHER,,US-05701-02,1012834.0,BOOKING,B-STD,BOOKING,2020-09-03,2020-10-16,2020-10-18,2020-09-03,,,,,,,,NO,No,No,,No,,0.0,FME,PRINCIPAL,US,UNITED STATES,Other,VT,VERMONT,4.0,5211494.0,US,US,4.0,4.0,0.0,0.0,1.0,OHUS,FME,,,DP,2020-02-24,2020-03-04,,43.655188,-72.913444,House,Holiday home,4.0,2.0,2.0,USD,0.0,147.24,,,30.0,0.0,0.0,117.24,0.0,,0.0,-60.0,0.0,0.0,-60.0,42.0,0.0,42.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,147.24,0.0,2026-01-29 13:40:21.175429+00:00,LARS
US-19401-01,OYO HOMES US,OHUS,17YY72WP,VRBO#70b1bbab-2b7c-42f2-a772-ae05c287e676,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,VRBO_US,VRBO / HomeAway for OVH US,OTHER,,US-19401-01,1011131.0,CANCELLED,R-ANB,CANCELLATION (NO PAYMENT),2020-02-25,2020-12-01,2020-12-08,,2020-03-02,Customer,NoPaymentCancellation,Customer did not make a payment,,,,NO,No,No,,No,system,0.0,FME,PRINCIPAL,US,UNITED STATES,Other,PA,PENNSYLVANIA,8.0,5013496.0,US,US,2.0,2.0,0.0,0.0,0.0,OHUS,FME,,,DP,2019-12-08,2020-01-14,,40.12143,-75.33121,House,Holiday home,8.0,3.0,3.0,USD,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.88,-899.88,2026-01-29 13:40:21.175429+00:00,LARS
HR-00095-34-01,BELVILLA,BVAG,1LW18PVY,4721917782_1,BV,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,booking,Booking.com,BOOKING.COM,,HR-00095-34,1056331.0,CANCELLED,R-AZV,RESERVATION CANCELLATION,2025-01-19,2025-07-11,2025-07-15,,2025-01-19,Customer,BookingComCancellation,Cancellation through Booking.com,50793645.0,13322064_1332206402_50793645,111.0,NO,No,No,,No,,0.0,Agency Home,AGENT,HR,CROATIA,Croatia,DAL,DALMATIA,4.0,7799537.0,AU,AU,4.0,4.0,0.0,0.0,0.0,DirectBooker,FME,,,DP,2023-07-07,2023-12-07,,42.640682,18.110166,Apartment,Apartment,4.0,2.0,2.0,EUR,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-29 13:40:21.175429+00:00,LARS
US-10460-02,OYO HOMES US,OHUS,1KLNL9Q7,2829031074,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,booking_us,Booking.com (OVH US),OTHER,,US-10460-02,1031935.0,CANCELLED,R-ANB,CANCELLATION (NO PAYMENT),2020-07-25,2020-07-25,2020-07-27,,2020-07-26,Customer,NoPaymentCancellation,Customer did not make a payment,,,,NO,No,No,,No,system,0.0,FME,PRINCIPAL,US,UNITED STATES,Other,NY,NEW YORK,8.0,5167882.0,US,US,7.0,7.0,0.0,0.0,0.0,OHUS,FME,,,DE,2020-03-04,2020-03-16,,40.832706,-73.887052,Apartment,Apartment,8.0,4.0,4.0,USD,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,-744.0,2026-01-29 13:40:21.175429+00:00,LARS
US-00000-83,OYO HOMES US,OHUS,1LMVFD3S,HMMM9QNWKZ,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,airbnb_us,AirBnB for OVH US,OTHER,,US-00000-83,1009655.0,BOOKING,B-STD,BOOKING,2020-07-14,2020-07-24,2020-07-25,2020-07-14,,,,,,,,NO,No,No,,No,,0.0,FME,PRINCIPAL,US,UNITED STATES,Other,NJ,NEW JERSEY,8.0,5153313.0,US,US,7.0,7.0,0.0,0.0,0.0,OHUS,FME,,,DP,2019-12-05,2020-02-13,,39.951628,-75.116069,House,Holiday home,8.0,3.0,3.0,USD,0.0,170.0,,,30.0,0.0,0.0,140.0,0.0,,0.0,-96.0,0.0,0.0,-96.0,0.0,0.0,0.0,111.61,111.61,0.0,42.7,42.7,0.0,0.0,170.0,0.0,2026-01-29 13:40:21.175429+00:00,LARS
US-20015-02,OYO HOMES US,OHUS,1ZH49LSU,HMFQ5WXX8X,OHMS,INDIR-Affiliates-Not@L,INDIR,INDIR,Affiliate,airbnb_us,AirBnB for OVH US,OTHER,,US-20015-02,1021033.0,BOOKING,B-STD,BOOKING,2020-02-16,2020-03-05,2020-03-07,2020-02-16,,,,,,,,YES,No,No,,No,,0.0,FMNE,AGENT,US,UNITED STATES,Other,WA,WASHINGTON,7.0,5005318.0,US,US,3.0,3.0,0.0,0.0,0.0,OHUS,FMNE,,,D,2020-01-06,2020-01-14,,38.976369,-77.055828,House,Holiday home,7.0,3.0,3.0,USD,0.0,222.15,,,30.0,0.0,0.0,192.15,0.0,,0.0,-33.91,0.0,0.0,-33.91,23.73,0.0,23.73,134.49,134.49,0.0,48.26,48.26,0.0,0.0,222.15,0.0,2026-01-29 13:40:21.175429+00:00,LARS
