ACCOMMODATION_CODE,ACCOMMODATION_LATITUDE,ACCOMMODATION_LONGITUDE,ACCOMMODATION_STATUS_CODE,ACCOMMODATION_SUB_STATUS,ACCOMMODATION_LIVE_DATE,ACCOMMODATION_REV_MAN_CHECK,ACCOMMODATION_CONTRACT_CHECK,ACCOMMODATION_CHANNEL,ACCOMMODATION_STATUS_CODE_DESCRIPTION,ACTIVE_LIVE_FLAG,ACCOMMODATION_COMPANY,PROPERTY_COMPANY,ACCOMMODATION_GROUP_CODE,ACCOMMODATION_GROUP,ACCOMMODATION_GROUP_COUNTRY,ACCOMMODATION_GROUP_TYPE,ACCOMMODATION_GROUP_CITY,ACCOMMODATION_GROUP_LANGUAGE,ACCOMMODATION_GROUP_NUMBER_OF_STARS,ACCOMMODATION_QUALITY_CHECK,ACCOMMODATION_COUNTRY_CODE,ACCOMMODATION_COUNTRY,ACCOMMODATION_REGION_CODE,ACCOMMODATION_REGION,ACCOMMODATION_SKI_AREA,ACCOMMODATION_SKI_AREA_COUNTRY,ACCOMMODATION_SKI_AREA_REGION,ACCOMMODATION_PROVINCE,ACCOMMODATION_MUNICIPALITY,ACCOMMODATION_CITY,ACCOMMODATION_ZIPCODE,ACCOMMODATION_ADDRESS,ACCOMMODATION_PRODUCT,REPORTS_TO,SALES_MANAGER,SALES_AGENT,SALES_AGENT_LARS_ID,ORIGINAL_AGENT,ORIGINAL_AGENT_LARS_ID,COMPETITOR_CODE,COMPETITOR,CONTRACT_TYPE,CONTRACT_ID,CONTRACT_DATE,CONTRACT_SIGNED_DT,CONTRACT_ATTACHMENT_DATE,CONTRACT_SIGNED_IP,CONTRACT_TERMINATION_REASON,NOT_INTERESTED_REASON,OPTIONS_ALLOWED,PROPERTY_SERVICES,PROPERTY_SERVICES_CONTRACT_START_DATE,PROPERTY_SERVICES_CONTRACT_END_DATE,ACCOMMODATION_RANK,ACCOMMODATION_RENT_LICENSE,ACCOMMODATION_RENT_LICENSE_REFERENCE,NUM_PLANNINGS,PLANNING_CODES,TO_CODES,TO_NAMES,ACCOMMODATION_CADASTER_TYPE,ACCOMMODATION_CADASTER_ID,ACCOMMODATION_SERVICE,ACCOMMODATION_HOUSE_ERROR,ACCOMMODATION_UPGRADE_STATUS,ACCOMMODATION_TAKEN_OVER_FROM,ACCOMMODATION_TAKEN_OVER_FROM_DATE,ACCOMMODATION_CREATION_DATE,ACCOMMODATION_DDATE,ACCOMMODATION_WDATE,CGT_BELGIUM,ACCOMMODATION_NUMBER_OF_PERSONS,ACCOMMODATION_NUMBER_OF_PETS,ACCOMMODATION_NUMBER_OF_BATHROOMS,ACCOMMODATION_NUMBER_OF_BEDROOMS,ACCOMMODATION_BUILDING_STRUCTURE,ACCOMMODATION_TYPE_NEW,ACCOMMODATION_ALLOTMENT_CODE,INDICATOR_PETS_ALLOWED,ACCOMMODATION_HOMEOWNER_TIPS,ACCOMMODATION_SIZE,ACCOMMODATION_COMBI_PLANNING,HOMEOWNER_CAN_MODIFY_ADDITIONAL_COSTS,LAST_MINUTE_ON_REQUEST_DAYS,ACCOMMODATION_PRICE_EXTENTION,ACCOMMODATION_PRICE_TEMPLATE,ACCOMMODATION_PRICE_METHOD,PRICE_CONTROL_MAXIMUM_PURCHSE_PRICE_DEVIVATION,INCLUDED_WEBSITES,EXCLUDED_WEBSITES,NOT_TO_BOOKINGCOM,NOT_TO_HOMEAWAY,NOT_TO_AIRBNB,OTA_CHECK_AIRBNB,OTA_CHECK_BOOKINGCOM,OTA_CHECK_HOMEAWAY,NUMBER_OF_ERRORS_ON_AIRBNB,NUMBER_OF_ERRORS_ON_BOOKINGCOM,NUMBER_OF_ERRORS_ON_HOMEAWAY,BOOKINGCOM_ID,AIRBNB_ID,HOMEAWAY_ID,EXPEDIA_ID,ACCOMMODATION_TYPE,INDICATOR_DETACHED,ACCOMMODATION_NUMBER_OF_STARS,ACCOMMODATION_NUMBER_OF_COMPLAINTS,ACCOMMODATION_NUMBER_OF_DAMAGES,ACCOMMODATION_NUMBER_OF_SOS,ACCOMMODATION_NUMBER_OF_DEPOSIT,ACCOMMODATION_NUMBER_OF_RELOCATION,ACCOMMODATION_NUMBER_OF_GUESTBOOKS,ACCOMMODATION_REVIEW_SCORE,ACCOMMODATION_NAME,HOMEOWNER_TRAFFIC_LIGHT,ACCOMMODATION_NUMBER_OF_PHOTOS,ACCOMMODATION_PHOTO_CHECK_SCORE,ACCOMMODATION_PHOTO_CONTENT_SCORE,ACCOMMODATION_PHOTO_CHARM_SCORE,ACCOMMODATION_PHOTO_MIX_SCORE,ACCOMMODATION_PHOTO_SPECS_SCORE,ACCOMMODATION_PHOTO_PRINT,ACCOMMODATION_PHOTOGRAPHY_BY,OWNER_LOGIN,OWNER_ID,OWNER_TYPE,OWNER_COMMUNICATION_CODE,OWNER_LANGUAGE_CODE,OWNER_COUNTRY_CODE,OWNER_CITY,OWNER_ZIPCODE,OWNER_AMBASSADOR,OWNER_COMPANY_ID,OWNER_COMPANY_NAME,OWNER_ORIGIN,OWNER_MKT_SOURCE_LEAD,HOMEOWNER_CREATION_DATE,OWNER_LAST_LOGIN_DATE,OWNER_WEBSITE,OWNER_PREFFERRED_PARTNER_PROGRAM,OWNER_PPP_ACCOUNT_MANAGER,OWNER_DND,CARETAKER_ID,CARETAKER_COUNTRY_CODE,CARETAKER_CITY,CARETAKER_ZIPCODE,CARETAKER_COMMUNICATION_CODE,CARETAKER_LANGUAGE_CODE,SAME_PERSON,HOPG
DOS081025-DYF,53.957355,14.15416,W,ACTIVE,,,,,Contract terminated / Cancelled,ACTIVE,TUI,TUI,,,,,,,,Niet gecheckt,DE,Germany,,,,,,,,Heringsdorf,0,,Duitsland,System,,System,system,System,system,,,Net,220104-7,,2019-01-01,,,,,Y,N,,,Bronze,,,1.0,DOS081025-DYF-01,,,,,HOS HomeOwner Service,Yes,,,,2021-12-15,2018-05-21,,,2.0,0.0,0.0,0.0,Detached,Holiday home,,N,,80.0,no,No,0,Manual,,,0.0,TF - BV,ABB_CLEANING | ABB_PETS,False,False,True,,,,0.0,0.0,0.0,,,2963509.0,,Holiday home,Y,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Green,0.0,0.0,,,,,,,Nooit,55.0,Local Office,E,DE,DE,,,,TUI,,Koude acquisitie,,,1900-01-01,,,,No,,,,,,,homeowner same as caretaker,
DOS081048-DYA,54.030752,14.017508,W,ACTIVE,,NotActioned,NotActioned,,Contract terminated / Cancelled,ACTIVE,TUI,TUI,,,,,,,,Niet gecheckt,DE,Germany,,,,,,,,Loddin,0,,Duitsland,System,,System,system,System,system,,,Net,211215-55,,2019-01-01,,,,,Y,N,,,Bronze,,,1.0,DOS081048-DYA-01,,,,,HOS HomeOwner Service,Yes,,,,2021-12-15,2019-01-05,,,2.0,0.0,0.0,0.0,Detached,Holiday home,,N,,80.0,no,No,0,Auto,Flat price structure,Night,0.0,TF - BV,ABB_CLEANING | ABB_PETS,False,False,True,,,,0.0,0.0,0.0,,,2963636.0,,Holiday home,Y,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Green,0.0,0.0,,,,,,,Nooit,55.0,Local Office,E,DE,DE,,,,TUI,,Koude acquisitie,,,1900-01-01,,,,No,,,,,,,homeowner same as caretaker,
DOS081079-FYC,54.013859,13.878623,W,ACTIVE,,NotActioned,NotActioned,,Contract terminated / Cancelled,ACTIVE,TUI,TUI,,,,,,,,Niet gecheckt,DE,Germany,,,,,,,,Lütow,0,,Duitsland,System,,System,system,System,system,,,Exclusive revenue management flexibility (FME),211215-56,,,,,,,Y,N,,,Bronze,,,1.0,DOS081079-FYC-01,,,,,HOS HomeOwner Service,Yes,,,,2021-12-15,2022-01-08,,,2.0,0.0,0.0,0.0,Detached,Holiday home,,N,,80.0,no,No,0,Auto,Flat price structure,Night,0.0,TF - BV,ABB_CLEANING | ABB_PETS,False,False,True,,,,0.0,0.0,0.0,,,,,Holiday home,Y,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Green,0.0,0.0,,,,,,,Nooit,55.0,Local Office,E,DE,DE,,,,TUI,,Koude acquisitie,,,1900-01-01,,,,No,,,,,,,homeowner same as caretaker,
DOS081088-FYC,54.013859,13.878623,W,ACTIVE,,NotActioned,NotActioned,,Contract terminated / Cancelled,ACTIVE,TUI,TUI,,,,,,,,Niet gecheckt,DE,Germany,,,,,,,,Lütow,0,,Duitsland,System,,System,system,System,system,,,Exclusive revenue management flexibility (FME),211215-56,,,,,,,Y,N,,,Bronze,,,1.0,DOS081088-FYC-01,,,,,HOS HomeOwner Service,Yes,,,,2021-12-15,2022-01-08,,,2.0,0.0,0.0,0.0,Detached,Holiday home,,N,,80.0,no,No,0,Auto,Flat price structure,Night,0.0,TF - BV,ABB_CLEANING | ABB_PETS,False,False,True,,,,0.0,0.0,0.0,,,,,Holiday home,Y,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Green,0.0,0.0,,,,,,,Nooit,55.0,Local Office,E,DE,DE,,,,TUI,,Koude acquisitie,,,1900-01-01,,,,No,,,,,,,homeowner same as caretaker,
DOS08124-CYC,54.009464,14.080501,W,ACTIVE,,NotActioned,NotActioned,,Contract terminated / Cancelled,ACTIVE,TUI,TUI,DOS08124,"Holiday flats Blankenfohrt, Ückeritz",DE,HolidayPark,,DE,0.0,Niet gecheckt,DE,Germany,mlvp,Mecklenburg Western Pomerania,,,,,,Ückeritz,17459,Am Strande 29,Duitsland,System,,System,system,System,system,,,Gross,210125-66,,,,,,,Y,N,,,Bronze,No,,1.0,DOS08124-CYC-01,,,,,HOS HomeOwner Service,,,,,2021-01-25,2018-01-06,2022-04-14,,3.0,0.0,1.0,1.0,semi detached,Apartment,107942.0,N,,47.0,no,No,4,Auto,Flat price structure,Night,0.0,TF,DC | ABB_CLEANING | ABB_PETS,False,False,True,,,,0.0,0.0,0.0,"4716027,471602702,14013089",,2963763.0,,Apartment,N,4.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,"Maisonette über 2 Etagen Typ 3-Maisonette über 2 Etagen, Typ 3",Green,0.0,0.0,,,,,,,Nooit,1045889.0,,E,DE,DE,Koserow,17459,,TUI,,,,2021-09-24,1900-01-01,www.strandwohnungen-blankenfohrt.de,,,No,,,,,,,homeowner same as caretaker,
DOS08154-DYA,53.968123,14.137603,W,ACTIVE,,NotActioned,NotActioned,,Contract terminated / Cancelled,ACTIVE,TUI,TUI,,,,,,,,Niet gecheckt,DE,Germany,,,,,,,,Bansin,17429,,Duitsland,System,,System,system,System,system,,,Net,211215-56,,2018-01-02,,,,,Y,N,,,Bronze,,,1.0,DOS08154-DYA-01,,,,,HOS HomeOwner Service,Yes,,,,2021-12-15,2018-01-06,,,2.0,0.0,0.0,0.0,Detached,Holiday home,,N,,80.0,no,No,0,Auto,Flat price structure,Night,0.0,TF - BV,ABB_CLEANING | ABB_PETS,False,False,True,,,,0.0,0.0,0.0,,,,,Holiday home,Y,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Green,0.0,0.0,,,,,,,Nooit,55.0,Local Office,E,DE,DE,,,,TUI,,Koude acquisitie,,,1900-01-01,,,,No,,,,,,,homeowner same as caretaker,
DOS08170-FYA,54.136713,13.774776,W,ACTIVE,,NotActioned,NotActioned,,Contract terminated / Cancelled,ACTIVE,TUI,TUI,,,,,,,,Niet gecheckt,DE,Germany,,,,,,,,Peenemünde,0,,Duitsland,System,,System,system,System,system,,,Net,211215-57,,2018-01-02,,,,,Y,N,,,Bronze,,,1.0,DOS08170-FYA-01,,,,,HOS HomeOwner Service,Yes,,,,2021-12-15,2018-01-06,,,2.0,0.0,0.0,0.0,Detached,Holiday home,,N,,80.0,no,No,0,Auto,Flat price structure,Night,0.0,TF - BV,ABB_CLEANING | ABB_PETS,False,False,True,,,,0.0,0.0,0.0,,,,,Holiday home,Y,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Green,0.0,0.0,,,,,,,Nooit,55.0,Local Office,E,DE,DE,,,,TUI,,Koude acquisitie,,,1900-01-01,,,,No,,,,,,,homeowner same as caretaker,
DOS09015-FYA,54.137323,13.723836,W,ACTIVE,,NotActioned,NotActioned,,Contract terminated / Cancelled,ACTIVE,TUI,TUI,,,,,,,,Niet gecheckt,DE,Germany,mlvp,Mecklenburg Western Pomerania,,,,,,Freest,17440,Die Ecke 2a,Duitsland,Christian Lehmkuhl,,Christian Lehmkuhl,christianle,System,system,,,Net,240507-33,2024-05-07,,2024-05-09,,,,Y,N,,,Bronze,No,,1.0,DOS09015-FYA-01,FH Schöttke,,,,HOS HomeOwner Service,,,,,2021-01-25,2022-09-09,2025-01-01,,2.0,0.0,1.0,1.0,fenced property,Holiday home,111397.0,N,,60.0,no,No,2,Auto,Flat price structure,Night,0.0,BV - OHMS - TF,ABB_CLEANING | ABB_PETS,False,False,True,,,,0.0,0.0,0.0,"6801142,680114202,19828006",,5077205.0,,Holiday home,Y,4.0,0.0,0.0,0.0,0.0,0.0,2.0,9.3,FH Schöttke 2 Personen,Green,0.0,0.0,,,,,,,Nooit,1044660.0,Private Homeowner,E,DE,DE,Freest,17440,,TUI,,,,2021-09-24,1900-01-01,,,,No,,,,,,,homeowner same as caretaker,
DOS12008-P,54.800765,9.386798,W,ACTIVE,,,,,Contract terminated / Cancelled,ACTIVE,TUI,TUI,,,,,,,,Niet gecheckt,DE,Germany,,,,,,,,Harrislee,0,,Duitsland,System,,System,system,System,system,,,Net,220104-8,,2019-01-01,,,,,Y,N,,,Bronze,,,1.0,DOS12008-P-01,,,,,HOS HomeOwner Service,Yes,,,,2021-12-15,2018-01-06,,,2.0,0.0,0.0,0.0,Detached,Holiday home,,N,,80.0,no,No,0,Manual,,,0.0,TF - BV,ABB_CLEANING | ABB_PETS,False,False,True,,,,0.0,0.0,0.0,,,2964289.0,,Holiday home,Y,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Green,0.0,0.0,,,,,,,Nooit,55.0,Local Office,E,DE,DE,,,,TUI,,Koude acquisitie,,,1900-01-01,,,,No,,,,,,,homeowner same as caretaker,
DOS121015-F,54.772124,9.93584,W,ACTIVE,,NotActioned,NotActioned,,Contract terminated / Cancelled,ACTIVE,TUI,TUI,,,,,,,,Niet gecheckt,DE,Germany,,,,,,,,Nieby,0,,Duitsland,System,,System,system,System,system,,,Net,211215-57,,2019-01-02,,,,,Y,N,,,Bronze,,,1.0,DOS121015-F-01,,,,,HOS HomeOwner Service,Yes,,,,2021-12-15,2019-01-06,,,2.0,0.0,0.0,0.0,Detached,Holiday home,,N,,80.0,no,No,0,Auto,Flat price structure,Night,0.0,TF - BV,ABB_CLEANING | ABB_PETS,False,False,True,,,,0.0,0.0,0.0,,,2964366.0,,Holiday home,Y,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Green,0.0,0.0,,,,,,,Nooit,55.0,Local Office,E,DE,DE,,,,TUI,,Koude acquisitie,,,1900-01-01,,,,No,,,,,,,homeowner same as caretaker,
