BOOKING_ID,FIRST_BOOKING_STATUS,BOOKING_STATUS_CODE,BOOKING_STATUS_DESCRIPTION,BOOKING_STATUS,BOOK_TIMESTAMP,BOOK_DATE,ARRIVAL_DATE,DEPARTURE_DATE,GUARANTEE_BOOKING_INDICATOR,STAY_DURATION,LEADTIME,PARTY_NUMBER_OF_ADULTS,PARTY_NUMBER_OF_CHILDREN,PARTY_NUMBER_OF_BABIES,PARTY_NUMBER_OF_PETS,PAYMENT_AT_BOOKING,TYPE_OF_PARTY,LARS_FM_TAG,CANCELLATION_DATE,CANCELLATION_BLAME,CANCELLATION_REASON,CANCELLATION_REASON_DESCRIPTION,SELF_CANCELLATION_ALLOWED,CANCELLED_BY,CANCELLATION_REQUEST,CANCELLATION_REQUEST_DATE,FLEXIBLE_CANCELLATION,SALES_CANCEL_COST,APPLICABLE_CAMPAIGN,FREE_BOOKING_APPLICABLE,FINANCIAL_ENTITY,CHANNEL_SUB,CHANNEL_TYPE,CHANNEL,WEB_PARTNER_CODE_GROUPED,WEB_PARTNER_CODE,WEB_PARTNER_TYPE,WEB_PARTNER_NAME,WEB_PARTNER_PERCENT_COMMISSION,WEB_PARTNER_COMMISSION_TURNOVER,TRAVEL_AGENCY,ORIGINAL_BOOKING_ID,WEB_ORIGIN,DV_CODE,ACTION_CODE,ACTION_DV_CODE,ACTION_SUB_CODE,BOOKED_BY,CC_AGENT_NAME,BOOKING_BRAND,RA_CUSTOMER_COUNTRY,CUSTOMER_ID,CUSTOMER_CITY,CUSTOMER_COUNTRY_CODE,CUSTOMER_COUNTRY_NAME,CUSTOMER_LANGUAGE,CUSTOMER_ZIPCODE,CUSTOMER_LOYATY_POINTS,CUSTOMER_PANEL_MEMBER_INDICATOR,CUSTOMER_TYPE,CUSTOMER_CREATION_DATE,CUSTOMER_COUNTRY_GROUPED,AGENT_BOOKING,WELCOME_BACK_INDICATOR,INDICATOR_COMPLAINT,INDICATOR_SOS,REVIEW_RESULT,INDICATOR_GUESTBOOK,NPS_SCORE,REVIEW_DATE,ACCOMMODATION_CODE
674920202,,B-STD,Booking,BOOKING,2012-12-05,2012-12-05,2013-08-23,2013-09-06,0,14,261,6,0,0,0,,Group,,,,,,,,,,,,,,BVAG,INDIR-TravelAgency,Indirect,INDIR-TravelAgency,rbtcedad,rbtcedad,Travel Agency,Travel Center Ed + Ad GmbH,,,Mein Reisespezialist,,www.belvilla.de,csc-booking,,,,Phone,Miriam Boessenkool-Schmitz,BV,DE,2746228,Waldorf,DE,Germany,DE,69190,0.0,No,Partikulier,2012-12-05,DE,,Yes,,,,,,,NL-4511-09
875252698,,B-STD,Booking,BOOKING,2014-09-09,2014-09-09,2014-10-24,2014-10-26,0,2,45,19,0,0,0,,Group XXL,,,,,,,,,,,,,,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,booking,booking,Affiliate,Booking.com,,,,,,,,,,Online,,BV,BE,2942122,Lovenjoel,BE,Belgium,NL,3360,0.0,No,Partikulier,2014-09-09,BE,,Yes,,,,,,,BE-4987-68
776073777,,B-STD,Booking,BOOKING,2018-04-04,2018-04-04,2018-11-16,2018-11-18,0,2,226,23,0,0,0,,Group XXL,,,,,,,,,,,,,,BVAG,DIR-SEA,Direct,DIR-SEA,,,,,,,,,www.belvilla.de,cpc|google|1.DE_B_corporate_exact||Belvilla-Direkt-buchen-bei-Belvilla.,DEBVAFSPH18,DEBVAFSPH18,affiliate|actioncode,Online,,BV,DE,4344311,Langenfeld,DE,Germany,DE,40764,0.0,No,Partikulier,2017-07-24,DE,,Yes,,,,,,,BE-4760-47
975749500,,B-STD,Booking,BOOKING,2017-01-18,2017-01-18,2017-06-17,2017-06-30,0,13,150,3,0,1,2,,Group with kids,,,,,,,,,,,,,,BVAG,DIR-SEO,Direct,DIR-SEO,,,,,,,,,nl.belvilla.be,seo|comgoogleandroidgooglequicksearchbox,,,,Online,,BV,BE,4250377,Aalst,BE,Belgium,NL,9300,0.0,No,Partikulier,2017-01-18,BE,,Yes,,,,,,,ES-43892-24
475501916,,R-AAH,Reservation request rejected by homeowner,CANCELLED,2016-01-11,2016-01-11,2016-08-09,2016-08-24,0,15,211,2,2,0,0,,Family,,2016-01-12,Homeowner,,,,,,,,,,,BVAG,DIR-CS,Direct,DIR-CS,,,,,,,,,www.belvilla.com,csc-booking,,,,Phone,Remco Waijboer,BV,GB,4082943,Bristol,GB,United Kingdom,EN,BS16DZ,0.0,No,Partikulier,2016-01-11,Other,,Yes,,,,,,,ES-07689-02
15S7ALG3,,B-STD,Booking,BOOKING,2022-09-07,2022-09-07,2022-09-16,2022-09-19,0,3,9,2,0,0,1,0.0,Couple,NO,,,,,No,,No,,No,0.0,,NO,BVAG,DIR-Referrers-Labeled,Direct,DIR-Referrers,,,,,0.0,0.0,,,www.belvilla.nl,referral-l|referral-l,,,,Online,,BV,NL,6323590,,NL,Netherlands,NL,,0.0,No,,,NL,,Yes,,,,,,,NL-8438-003
1S75X28L,,B-STD,Booking,BOOKING,2025-09-05,2025-09-05,2025-09-06,2025-09-07,0,1,1,2,0,0,0,0.0,Couple,NO,,,,,No,,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,airbnb,airbnb,Affiliate,Airbnb,0.0,0.0,,HMKEQ8TJJ8,,,,,,Online,,NONOVH-IND,IN,8097539,,IN,,EN,,0.0,No,Partikulier,2025-09-05,Other,,Yes,,,,,,,IN-00001-27
976057426,,B-STD,Booking,BOOKING,2018-03-13,2018-03-13,2018-08-25,2018-09-04,0,10,165,2,3,0,0,,Family,,,,,,,,,,,,,,BVAG,INDIR-TravelAgency,Indirect,INDIR-TravelAgency,TC_DE3416,TC_DE3416,Travel Agency,Thomas Cook Reisebüro Neckermann Urlaubswelt GmbH,,,Thomas Cook DE Eigenvertrieb,,www.belvilla.de,,,,,Online,,BV,DE,4468412,Kleinrinderfeld,DE,Germany,DE,97271,0.0,No,Partikulier,2018-03-13,DE,942375.0,Yes,,,,,,,ES-03158-01
15VYQV9G,,R-ANB,Cancellation (No payment),CANCELLED,2024-03-03,2024-03-03,2024-03-29,2024-04-01,0,3,26,2,0,0,0,0.0,Couple,NO,2024-03-13,Customer,NoPaymentCancellation,Customer did not make a payment,No,system,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,HomeToGo,HomeToGo,Affiliate,,12.5,149.73,,HOMETOGO,,,,,,Online,,BV,DE,7328206,Papenburg,DE,Germany,DE,26871,0.0,No,Partikulier,2024-03-03,DE,,Yes,,,,,,,DE-00089-81
12BBQAGZ,,B-STD,Booking,BOOKING,2025-06-10,2025-06-10,2025-06-10,2025-06-11,0,1,0,5,0,0,0,0.0,Group,NO,,,,,No,,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,airbnb,airbnb,Affiliate,Airbnb,0.0,0.0,,HMPBCW8C8Z,,,,,,Online,,NONOVH-BHD,SA,7982916,,SA,,EN,,0.0,No,Partikulier,2025-06-10,Other,,Yes,,,,,,,BH-00000-03
1CGC69GN,,B-STD,Booking,BOOKING,2021-01-20,2021-01-20,2021-01-24,2021-01-28,0,4,4,2,0,0,0,0.0,Couple,NO,,,,,No,,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,booking,booking,Affiliate,Booking.com,12.0,345.92,,3412771535,,,,,,Online,,BV,BE,5302472,Gent,BE,Belgium,NL,,0.0,No,Partikulier,2021-01-20,BE,,Yes,,,,,,,BE-4900-108
275446217,,R-AZV,Reservation Cancellation,CANCELLED,2015-09-30,2015-09-30,2016-03-12,2016-03-19,0,7,164,7,0,0,0,,Group,,2015-09-30,Customer,,,,,,,,,,,BVAG,DIR-Direct-BaseDTI,Direct,DIR-Direct,,,,,,,,,www.belvilla.nl,direct-visit,,,,Online,,BV,NL,2014403,burgh haamstede,NL,Netherlands,NL,4328CK,0.0,Yes,Partikulier,2008-08-26,NL,11079.0,Yes,,,,,,,AT-6263-101
1K3PHYBX,,O-VV,Option expired,,2019-04-22,2019-04-22,2019-07-10,2019-07-17,0,7,79,4,0,0,1,0.0,Group,NO,,,,,No,,No,,No,0.0,,NO,BVAG,DIR-SEA,Direct,DIR-SEA,,,,,,,,,nl.belvilla.be,cpc|google|1.BENL_B_corporate_misspelled_exact,,,,Online,,BV,BE,4768660,Izegem,BE,Belgium,NL,8870,0.0,No,Partikulier,2019-04-22,BE,935719.0,Yes,,,,,,,FR-24400-18
17Q5G4NQ,,B-STD,Booking,BOOKING,2019-08-07,2019-08-07,2020-01-22,2020-01-26,0,4,168,7,0,0,0,0.0,Group,NO,,,,,No,,No,,No,0.0,,NO,BVAG,DIR-Direct-BaseDTI,Direct,DIR-Direct,,,,,0.0,0.0,,,www.belvilla.de,direct-visit,,,,Online,,BV,DE,4837313,Solingen,DE,Germany,DE,42719,0.0,No,Partikulier,2019-08-07,DE,11079.0,Yes,,,,,,,AT-5733-55
676171452,,B-OMB,Re-booking,CANCELLED,2018-08-15,2018-08-15,2019-05-02,2019-05-05,0,3,260,18,0,0,0,,Group XXL,,2018-12-11,Customer,,Divorce/Break-up,,,,,,,,,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,booking,booking,Affiliate,Booking.com,,,,1252306654,,,,,,Online,,BV,DE,4556235,Heubach,DE,Germany,DE,73540,0.0,No,Partikulier,2018-08-15,DE,11079.0,Yes,,,,,,,AT-6284-01
875420321,,R-AZV,Reservation Cancellation,CANCELLED,2015-08-12,2015-08-12,2015-08-17,2015-08-21,0,4,5,2,2,1,0,,Family,,2015-08-12,Customer,,,,,,,,,,,BVAG,DIR-SEO,Direct,DIR-SEO,,,,,,,,,www.belvilla.nl,seo|googlenl,,,,Online,,BV,NL,4031671,Schiedam,NL,Netherlands,NL,3112GC,0.0,No,Partikulier,2015-08-12,NL,,Yes,,,,,,,DE-56812-06
875988814,,B-STD,Booking,BOOKING,2018-01-04,2018-01-04,2018-05-09,2018-05-13,0,4,125,7,6,0,0,,Group XXL,,,,,,,,,,,,,,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,Galas_all,galas_cas,Affiliate,Galatea Systems,,,,1003820786,,,,,,Online,,BV,BE,4417054,Antwerpen,BE,Belgium,NL,2020,0.0,No,Partikulier,2018-01-04,BE,,Yes,,,,,,,BE-4190-12
1V5RDPJ7,,B-STD,Booking,BOOKING,2023-03-05,2023-03-05,2023-11-03,2023-11-05,0,2,243,13,0,0,0,0.0,Group XXL,NO,,,,,No,,No,,No,0.0,,NO,BVAG,DIR-Direct-BaseDTI,Direct,DIR-Direct,,,,,0.0,0.0,,,www.belvilla.de/new,SEO,,,,Online,,BV,DE,6754309,,DE,Germany,DE,,0.0,No,Partikulier,2023-03-05,DE,952543.0,Yes,,,,,,,BE-4950-24
1M5ACPB8,,B-AZV,Cancellation without insurance,CANCELLED,2025-01-15,2025-01-15,2025-08-05,2025-08-12,0,7,202,1,1,0,0,0.0,Family,NO,2025-07-28,Customer,PartnerCancellation,Cancellation through partner,No,internet,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,HomeToGo,HomeToGo,Affiliate,,13.0,660.9,,HOMETOGO,,,,,,Online,,TF,DE,7794584,Kerzenheim,DE,Germany,DE,67304,0.0,No,Partikulier,2025-01-15,DE,1044562.0,Yes,,,,,,,DOS031015-SYB
475007766,,B-STD,Booking,BOOKING,2013-03-29,2013-03-29,2013-05-17,2013-05-27,0,10,49,2,0,1,0,,Family,,,,,,,,,,,,,,BVAG,DIR-CCC,Direct,DIR-CCC,,,,,,,,,www.belvilla.de,,,,,Phone,Gaby Smits,BV,DE,2788029,Memmingen,DE,Germany,DE,87700,0.0,No,Partikulier,2013-03-25,DE,,Yes,,,,,,,NL-1601-25
775554886,,R-ANB,Cancellation (No payment),CANCELLED,2016-03-11,2016-03-11,2016-03-20,2016-03-23,0,3,9,2,0,0,1,,Couple,,2016-03-15,Customer,,,,,,,,,,,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,cofman,cofman,Affiliate,Cofman.com,,,,,,,,,,Online,,BV,DE,4117527,Leutkirch-Hofs,DE,Germany,DE,88299,0.0,No,Partikulier,2016-03-11,DE,,Yes,,,,,,,NL-2204-19
775338673,,B-STD,Booking,BOOKING,2015-03-08,2015-03-08,2015-08-21,2015-09-04,0,14,166,2,0,0,0,,Couple,,,,,,,,,,,,,,BVAG,DIR-SEA,Direct,DIR-SEA,,,,,,,,,www.belvilla.de,sea|google|Branding_B_Allgemein|+ferienhäuser +belvilla,,,,Online,,BV,DE,2999004,Karlsruhe,DE,Germany,DE,76133,0.0,No,Partikulier,2015-03-08,DE,,Yes,,,,,,,NL-1752-01
75481582,,O-VV,Option expired,,2015-12-12,2015-12-12,2016-03-29,2016-04-04,0,6,108,6,1,1,0,,Group with kids,,,,,,,,,,,,,,BVAG,DIR-CS,Direct,DIR-CS,,,,,,,,,www.vakantiehuizen-ardennen.nl,csc-booking,,,,Phone,Vera Geerts,AR,BE,4070220,Berghem,BE,Belgium,NL,2600,0.0,No,Partikulier,2015-12-12,BE,,Yes,,,,,,,BE-6940-141
275407154,,B-OMB,Re-booking,CANCELLED,2015-07-21,2015-07-21,2015-08-03,2015-08-08,0,5,13,3,1,0,1,,Group with kids,,2015-07-22,Homeowner,,,,,,,,,,,BVAG,DIR-SEA,Direct,DIR-SEA,,,,,,,,,www.belvilla.nl,sea|google|Duitsland-generic-NLC|bungalow duitsland,,,,Online,,BV,NL,4022720,Capelle aan den IJssel,NL,Netherlands,NL,2907RM,0.0,No,Partikulier,2015-07-21,NL,,Yes,,,,,,,DE-56290-01
174733069,,B-STD,Booking,BOOKING,2012-01-15,2012-01-15,2012-02-20,2012-02-24,0,4,36,2,3,0,1,,Family,,,,,,,,,,,,,,BVAG,INDIR-Affiliates-ER,Indirect,INDIR-Affiliates,eurorelais,eurorelais,Affiliate,Euro Relais (Amsterdam),,,,,,,,,,Online,,BV,BE,2366970,brecht,BE,Belgium,NL,2960,0.0,No,Partikulier,2012-01-15,BE,,Yes,,,,,,,BE-6987-03
976339538,,R-AZV,Reservation Cancellation,CANCELLED,2019-03-12,2019-03-12,2019-07-22,2019-07-29,0,7,132,5,1,0,1,0.0,Group with kids,NO,2019-03-14,Customer,BookedByMistake,Booked by mistake,No,rodgervh,No,,No,0.0,,NO,BVAG,DIR-CS,Direct,DIR-CS,,,,,,,,,www.belvilla.nl,csc-booking,,,,Phone,Nathalie Pedrosa De Deus Mateus,BV,DE,4743077,Deillenkirchen,DE,Germany,NL,52511,0.0,No,Partikulier,2019-03-12,DE,,Yes,,,,,,,NL-2691-09
173GK2LE,,B-STD,Booking,BOOKING,2024-01-28,2024-01-28,2024-03-08,2024-03-10,0,2,40,4,0,0,1,0.0,Group,NO,,,,,No,,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,HomeToGo,HomeToGo,Affiliate,,12.5,142.18,,HOMETOGO,,,,,,Online,,BV,NL,7262141,Zeewolde,NL,Netherlands,NL,3893Cm,0.0,No,Partikulier,2024-01-28,NL,,Yes,,,,,,,NL-8422-01
18JBWEV2,,B-OMB,Re-booking,CANCELLED,2020-07-31,2020-07-31,2020-07-31,2020-08-02,0,2,0,4,0,0,0,0.0,Group,NO,2020-08-01,Customer,BookingComCancellation,Cancellation through Booking.com,No,wouters,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,booking,booking,Affiliate,Booking.com,12.0,218.84,,2478726781,,,,,,Online,,BV,GB,5174536,Sheffield,GB,United Kingdom,EN,S56lz,0.0,No,Partikulier,2020-07-31,Other,,Yes,,Yes,,,,,GB-00028-11
175744616,,B-AMV,Cancellation with insurance,CANCELLED,2017-01-14,2017-01-14,2017-07-28,2017-08-04,0,7,195,2,0,0,0,,Couple,,2017-05-19,,,,,,,,,,,,BVAG,DIR-SEO,Direct,DIR-SEO,,,,,,,,,www.belvilla.nl,seo|googlenl,,,,Online,,BV,NL,4246884,Heteren,NL,Netherlands,NL,6666XX,0.0,No,Partikulier,2017-01-14,NL,,Yes,,,,,,,DE-56290-18
075858650,,B-STD,Booking,BOOKING,2017-06-18,2017-06-18,2017-09-02,2017-09-09,0,7,76,2,0,0,0,,Couple,,,,,,,,,,,,,,BVAG,INDIR-Affiliates-CM,Indirect,INDIR-Affiliates,casamundo,casamundo,Affiliate,Casamundo GmbH,,,,,,,,,,Online,,BV,DE,4327080,Sankt Augustin,DE,Germany,DE,53757,0.0,No,Partikulier,2017-06-18,DE,10053.0,Yes,,,,,,,DE-86980-04
1HKNJCBW,,B-AZV,Cancellation without insurance,CANCELLED,2020-07-08,2020-07-08,2020-07-20,2020-07-22,0,2,12,3,1,0,0,0.0,Group with kids,NO,2020-08-02,Customer,AirbnbCancellation,Cancellation through Airbnb,No,,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,airbnb,airbnb,Affiliate,Airbnb,0.0,0.0,,HMH59E2T3Q,,,,,,Online,,BV,GB,5143660,,GB,United Kingdom,EN,,0.0,No,Partikulier,2020-07-08,Other,,Yes,,,,,,,GB-00020-02
1U7M7HXW,,R-ANB,Cancellation (No payment),CANCELLED,2023-07-03,2023-07-03,2023-08-11,2023-08-21,0,10,39,4,0,0,0,0.0,Group,NO,2023-07-09,Customer,NoPaymentCancellation,Customer did not make a payment,No,system,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,booking,booking,Affiliate,Booking.com,12.0,1051.96,,2967595590_1,,,,,,Online,,BV,EC,6939462,Machala,EC,,EN,070205,0.0,No,Partikulier,2023-07-03,Other,,Yes,,,,,,,IT-00189-074
1E3TWP7Q,,B-STD,Booking,BOOKING,2022-08-27,2022-08-27,2022-08-28,2022-09-01,0,4,1,4,0,0,0,1.0,Group,NO,,,,,No,,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,booking,booking,Affiliate,Booking.com,12.0,626.39,,2136192711,,,,,,Online,,BV,HR,6462263,Pisarovina,HR,Croatia,EN,10451,0.0,No,Partikulier,2022-08-27,Other,,Yes,,,,,,,AT-7361-13
1Q2ZA2C3,,R-ANB,Cancellation (No payment),CANCELLED,2025-09-16,2025-09-16,2026-09-25,2026-09-27,1,2,374,13,2,0,0,0.0,Group XXL,NO,2025-10-02,Customer,NoPaymentCancellation,Customer did not make a payment,No,system,No,,No,0.0,Free Cancellation Campaign - 43 day without HO opt-in,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,check24-1,check24-1,Affiliate,CHECK24 Vergleichsportal Ferienwohnungen Homes GmbH,11.0,873.13,,e35bfd89-d41e-403e-8456-a9ae47b4fd5b,,,,,,Online,,TF,DE,8111338,,DE,Germany,DE,,0.0,No,Partikulier,2025-09-16,DE,1044562.0,Yes,,,,,,,DMS02089-FYF
1KHLC26U,,B-STD,Booking,BOOKING,2022-10-10,2022-10-10,2023-03-31,2023-04-14,0,14,172,2,0,0,0,0.0,Couple,NO,,,,,No,,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,E-dom/touristonline,edomizil2015,Affiliate,e-domizil GmbH,12.25,1128.4,,,,,,,,Online,,BV,DE,6525959,Stutensee,DE,Germany,DE,76297,0.0,No,Partikulier,2022-10-10,DE,,Yes,,,,,,,NL-3249-14
1HD8PTS7,,B-STD,Booking,BOOKING,2020-01-03,2020-01-03,2020-02-29,2020-03-07,0,7,57,11,0,1,3,0.0,Group with kids,NO,,,,,No,,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,VRBO,homeaway,Affiliate,VRBO/ HomeAway,12.5,2704.0,,HOMEAWAY_DE#a74a2f1e-ecf3-4a63-bf86-85df287df9e8,,,,,,Online,,BV,DE,4948318,Königswinter,DE,Germany,DE,53639,0.0,No,Partikulier,2020-01-03,DE,11079.0,Yes,,,,,,,AT-6263-144
176092613,,B-STD,Booking,BOOKING,2018-05-02,2018-05-02,2018-09-02,2018-09-16,0,14,123,4,0,0,0,,Group,,,,,,,,,,,,,,BVAG,DIR-SEA,Direct,DIR-SEA,,,,,,,,,www.belvilla.nl,cpc|google|9.NL_dynamic_search_ads_touristic-regions_RLSA,,,,Online,,BV,NL,4495427,Goutum,NL,Netherlands,NL,9084DP,0.0,No,Partikulier,2018-05-02,NL,955302.0,Yes,Yes,Yes,,,,,ES-04751-01
275810760,,B-STD,Booking,BOOKING,2017-04-01,2017-04-01,2017-10-06,2017-10-08,0,2,188,18,0,0,0,,Group XXL,,,,,,,,,,,,,,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,booking,booking,Affiliate,Booking.com,,,,,,,,,,Online,,BV,BE,4293070,Herent,BE,Belgium,NL,3020,0.0,No,Partikulier,2017-04-01,BE,,Yes,,,,,,,BE-0217-01
13FCCJSC,,B-STD,Booking,BOOKING,2023-02-13,2023-02-13,2023-08-11,2023-08-18,0,7,179,10,5,0,0,0.0,Group XXL,NO,,,,,No,,No,,No,0.0,,NO,BVAG,DIR-Direct-BaseDTI,Direct,DIR-Direct,,,,,0.0,0.0,,,www.belvilla.nl/new,SEO,,,,Online,,BV,NL,6719908,,NL,Netherlands,NL,,0.0,No,Partikulier,2023-02-13,NL,,Yes,,,,,,,BE-4987-96
1598ENQU,,B-STD,Booking,BOOKING,2023-03-01,2023-03-01,2023-03-26,2023-04-02,0,7,25,6,0,0,0,0.0,Group,NO,,,,,No,,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,airbnb,airbnb,Affiliate,Airbnb,0.0,0.0,,HM4D9ESXFC,,,,,,Online,,BV,PL,6746257,,PL,Poland,PL,,0.0,No,Partikulier,2023-03-01,Other,921305.0,Yes,,,,,,,IT-00015-90
376061751,,B-STD,Booking,BOOKING,2018-03-19,2018-03-19,2018-05-25,2018-06-01,0,7,67,2,0,0,2,,Couple,,,,,,,,,,,,,,BVAG,DIR-CS,Direct,DIR-CS,,,,,,,,,www.belvilla.de,csc-booking,,,,Phone,Esther de Boer,BV,DE,4442911,Schwalbach,DE,Germany,DE,66773,0.0,No,Partikulier,2018-02-02,DE,,Yes,,,9.7,Yes,10.0,2019-07-22,NL-3333-01
1NLMS8NC,,O-VV,Option expired,,2020-04-22,2020-04-22,2020-05-30,2020-06-03,0,4,38,4,0,0,0,0.0,Group,NO,,,,,No,,No,,No,0.0,,NO,BVAG,INDIR-Affiliates-Not@L,Indirect,INDIR-Affiliates,Casamundo2,Casamundo2,Affiliate,HomeToGo GmbH / Casamundo,11.5,334.35,,,www.belvilla.de,,,,,Phone,Paulina Sander,BV,DE,4980349,Rheinberg,DE,Germany,DE,47495,0.0,No,Partikulier,2020-01-26,DE,10053.0,Yes,,,,,,,DE-33818-01
575015218,,B-STD,Booking,BOOKING,2013-04-08,2013-04-08,2013-05-11,2013-05-18,0,7,33,2,0,0,0,,Couple,,,,,,,,,,,,,,BVAG,DIR-SEA,Direct,DIR-SEA,,,,,,,,,www.belvilla.nl,sea_adw_bvnl402,,,,Online,,BV,NL,2792308,Culemborg,NL,Netherlands,NL,4102KM,0.0,No,Partikulier,2013-04-08,NL,,Yes,,,,,,,DE-59872-04
874731646,,B-STD,Booking,BOOKING,2012-01-13,2012-01-13,2012-05-01,2012-05-08,0,7,109,2,2,0,0,,Family,,,,,,,,,,,,,,BVAG,DIR-SEA,Direct,DIR-SEA,,,,,,,,,www.belvilla.nl,sea_adw_bvnl1,,,,Online,,BV,NL,2366068,TIEL,NL,Netherlands,NL,4001MD,0.0,No,Partikulier,2012-01-13,NL,,Yes,,,,,,,ES-03530-06
