ACCOMMODATION_CODE,FEATURE_ID,FEATURE,ACCOMMODATION_TYPE,INDICATOR_DETACHED
FR-00030-83,390,On holiday park,,0
BE-0014-23,390,On holiday park,,0
BE-0014-26,390,On holiday park,,0
NL-0023-37,390,On holiday park,,0
FR-00030-82,390,On holiday park,,0
BE-0014-22,390,On holiday park,,0
BE-0014-24,390,On holiday park,,0
BE-0014-25,390,On holiday park,,0
FR-00029-24,390,On holiday park,,0
BE-0014-19,390,On holiday park,,0
BE-0014-27,390,On holiday park,,0
NL-6468-01,12032,Sight-seeing,Boat,1
NL-1011-01,520,Own house,Boat,0
NL-4130-01,520,Own house,Boat,1
NL-4629-01,520,Own house,Boat,1
NL-3016-02,520,Own house,Boat,1
NL-1096-01,520,Own house,Boat,0
NL-3016-01,520,Own house,Boat,1
NL-6275-01,520,Own house,Boat,1
NL-6619-01,520,Own house,Boat,1
FR-11800-05,31500,Otherwise,Boat,1
BE-8400-26,31500,Otherwise,Boat,1
FR-83700-26,31500,Otherwise,Boat,1
NL-1011-02,530,Apartment,Boat,0
NL-1011-01,530,Apartment,Boat,0
BE-5000-02,530,Apartment,Boat,0
NL-1011-07,530,Apartment,Boat,0
BE-2000-SA,530,Apartment,Boat,0
NL-1096-01,530,Apartment,Boat,0
NL-1079-01,530,Apartment,Boat,0
BE-5000-01,530,Apartment,Boat,0
NL-1011-06,530,Apartment,Boat,0
NL-1011-05,530,Apartment,Boat,0
IT-84100-01,530,Apartment,Boat,0
NL-0008-50,21010,Cycling,Boat,1
NL-6468-01,21010,Cycling,Boat,1
NL-6275-01,21010,Cycling,Boat,1
BE-8400-26,30500,Otherwise,Boat,1
FR-83700-26,30500,Otherwise,Boat,1
FR-11800-05,30500,Otherwise,Boat,1
NL-6275-01,21040,Watersports,Boat,1
NL-0008-50,20020,City centre,Boat,1
NL-6713-01,20020,City centre,Boat,1
NL-3016-03,20020,City centre,Boat,1
NL-3016-03,31040,Romanticism,Boat,1
NL-6468-01,31040,Romanticism,Boat,1
NL-0008-50,20040,Near the sea,Boat,1
NL-6468-01,30040,Romanticism,Boat,1
NL-3016-03,30040,Romanticism,Boat,1
NL-8626-23,90,Boat,Boat,1
NL-1018-01,90,Boat,Boat,1
NL-3016-03,90,Boat,Boat,1
NL-1601-18,90,Boat,Boat,1
NL-1015-10,90,Boat,Boat,1
US-00005-82,90,Boat,Boat,1
PT-7220-01,90,Boat,Boat,1
NL-7225-03,90,Boat,Boat,1
NL-1628-02,90,Boat,Boat,1
IT-00022-19,90,Boat,Boat,1
NL-3016-02,90,Boat,Boat,1
NL-1621-03,90,Boat,Boat,1
GR-31100-20,90,Boat,Boat,1
NL-8242-01,90,Boat,Boat,1
NL-8723-30,90,Boat,Boat,1
NL-6619-01,90,Boat,Boat,1
NL-8861-06,90,Boat,Boat,1
NL-8261-04,90,Boat,Boat,1
NL-3430-01,90,Boat,Boat,1
NL-8715-27,90,Boat,Boat,1
NL-0010-63,90,Boat,Boat,1
NL-1013-09,90,Boat,Boat,1
NL-1601-32,90,Boat,Boat,1
NL-8260-01,90,Boat,Boat,1
NL-1601-24,90,Boat,Boat,1
NL-8261-05,90,Boat,Boat,1
NL-1601-10,90,Boat,Boat,1
NL-4300-02,90,Boat,Boat,1
NL-2572-01,90,Boat,Boat,1
NL-8862-04,90,Boat,Boat,1
NL-8626-24,90,Boat,Boat,1
NL-1621-01,90,Boat,Boat,1
NL-8626-29,90,Boat,Boat,1
NL-1601-13,90,Boat,Boat,1
BE-0658-01,90,Boat,Boat,1
NL-8715-22,90,Boat,Boat,1
FR-75015-01,90,Boat,Boat,1
GB-00024-15,90,Boat,Boat,1
NL-2120-01,90,Boat,Boat,1
NL-1096-01,90,Boat,Boat,0
NL-1811-01,90,Boat,Boat,1
DE-23730-01,90,Boat,Boat,1
NL-3777-01,90,Boat,Boat,1
NL-8531-02,90,Boat,Boat,1
NL-1601-37,90,Boat,Boat,1
NL-8715-25,90,Boat,Boat,1
NL-0029-66,90,Boat,Boat,1
NL-1601-14,90,Boat,Boat,1
NL-2734-01,90,Boat,Boat,1
NL-4130-01,90,Boat,Boat,1
NL-0008-50,90,Boat,Boat,1
TR-48300-02,90,Boat,Boat,1
ES-29640-03,90,Boat,Boat,1
FR-72300-02,90,Boat,Boat,1
NL-8626-20,90,Boat,Boat,1
